"variable","time","val"
svc_req_size,2020-02-20 12:30:36,8375.99
svc_req_size,2020-02-20 12:32:06,9518.20
svc_req_size,2020-02-20 12:36:06,11542.37
svc_req_size,2020-02-20 12:43:21,23921.69
svc_req_size,2020-02-20 12:49:51,16536.74
svc_req_size,2020-02-20 12:58:21,30470.14
svc_req_size,2020-02-20 13:04:51,14702.36
svc_req_size,2020-02-20 13:10:36,25058.82
svc_req_size,2020-02-20 13:17:36,27038.82
svc_req_size,2020-02-20 13:17:51,40891.30
svc_req_size,2020-02-20 13:27:06,17301.36
svc_req_size,2020-02-20 13:38:06,46332.17
svc_req_size,2020-02-20 13:44:21,40783.30
svc_req_size,2020-02-20 13:44:36,32079.19
svc_req_size,2020-02-20 13:48:51,38972.22
svc_req_size,2020-02-20 13:57:36,45222.83
svc_req_size,2020-02-20 14:09:06,43034.77
svc_req_size,2020-02-20 14:12:06,882.91
svc_req_size,2020-02-20 14:18:21,10762.68
svc_req_size,2020-02-20 14:24:21,19706.22
svc_req_size,2020-02-20 14:34:36,28366.58
svc_req_size,2020-02-20 14:40:06,30545.51
svc_req_size,2020-02-20 14:43:21,27942.65
svc_req_size,2020-02-20 14:48:36,29448.94
svc_req_size,2020-02-20 14:57:36,33927.06
svc_req_size,2020-02-20 15:03:06,27617.76
svc_req_size,2020-02-20 15:15:36,25258.89
svc_req_size,2020-02-20 15:20:51,30961.62
svc_req_size,2020-02-20 15:21:06,35734.62
svc_req_size,2020-02-20 15:21:21,52680.40
svc_req_size,2020-02-20 15:21:36,21885.31
svc_req_size,2020-02-20 15:21:51,22193.11
svc_req_size,2020-02-20 15:22:06,46506.21
svc_req_size,2020-02-20 15:22:21,52812.82
svc_req_size,2020-02-20 15:22:36,52856.18
svc_req_size,2020-02-20 15:22:51,40828.36
svc_req_size,2020-02-20 15:23:06,40241.07
svc_req_size,2020-02-20 15:23:21,43185.57
svc_req_size,2020-02-20 15:23:36,44684.96
svc_req_size,2020-02-20 15:23:51,34667.79
svc_req_size,2020-02-20 15:24:06,51760.50
svc_req_size,2020-02-20 15:24:21,25465.97
svc_req_size,2020-02-20 15:24:36,25163.78
svc_req_size,2020-02-20 15:24:51,49677.22
svc_req_size,2020-02-20 15:25:06,51112.17
svc_req_size,2020-02-20 15:25:21,51529.77
svc_req_size,2020-02-20 15:25:36,52727.09
svc_req_size,2020-02-20 15:25:51,29484.49
svc_req_size,2020-02-20 15:26:06,23408.67
svc_req_size,2020-02-20 15:26:21,18119.75
svc_req_size,2020-02-20 15:26:36,36282.84
svc_req_size,2020-02-20 15:26:51,39140.33
svc_req_size,2020-02-20 15:27:06,45598.51
svc_req_size,2020-02-20 15:27:21,52562.25
svc_req_size,2020-02-20 15:27:36,52384.26
svc_req_size,2020-02-20 15:27:51,37402.87
svc_req_size,2020-02-20 15:28:06,52347.46
svc_req_size,2020-02-20 15:28:21,50603.53
svc_req_size,2020-02-20 15:28:36,50389.67
svc_req_size,2020-02-20 15:28:51,50476.20
svc_req_size,2020-02-20 15:29:06,44305.88
svc_req_size,2020-02-20 15:29:21,37089.27
svc_req_size,2020-02-20 15:29:36,36707.34
svc_req_size,2020-02-20 15:29:51,42140.75
svc_req_size,2020-02-20 15:30:06,28821.76
svc_req_size,2020-02-20 15:30:21,51467.84
svc_req_size,2020-02-20 15:30:36,51893.58
svc_req_size,2020-02-20 15:30:51,52073.76
svc_req_size,2020-02-20 15:31:06,52238.71
svc_req_size,2020-02-20 15:31:21,37178.76
svc_req_size,2020-02-20 15:31:36,31226.76
svc_req_size,2020-02-20 15:31:51,45115.11
svc_req_size,2020-02-20 15:32:06,34779.56
svc_req_size,2020-02-20 15:32:21,34306.29
svc_req_size,2020-02-20 15:32:36,39505.83
svc_req_size,2020-02-20 15:32:51,41591.31
svc_req_size,2020-02-20 15:33:06,26953.96
svc_req_size,2020-02-20 15:33:21,38292.58
svc_req_size,2020-02-20 15:33:36,37136.05
svc_req_size,2020-02-20 15:33:51,44398.31
svc_req_size,2020-02-20 15:34:06,44999.08
svc_req_size,2020-02-20 15:34:21,35005.94
svc_req_size,2020-02-20 15:34:36,29639.06
svc_req_size,2020-02-20 15:34:51,36848.50
svc_req_size,2020-02-20 15:35:06,36700.41
svc_req_size,2020-02-20 15:35:21,53222.56
svc_req_size,2020-02-20 15:35:36,30409.00
svc_req_size,2020-02-20 15:35:51,31240.53
svc_req_size,2020-02-20 15:36:06,43075.39
svc_req_size,2020-02-20 15:36:21,46588.21
svc_req_size,2020-02-20 15:36:36,47220.25
svc_req_size,2020-02-20 15:36:51,40457.38
svc_req_size,2020-02-20 15:37:06,20796.19
svc_req_size,2020-02-20 15:37:21,20998.26
svc_req_size,2020-02-20 15:37:36,43910.28
svc_req_size,2020-02-20 15:37:51,41208.41
svc_req_size,2020-02-20 15:38:06,37842.16
svc_req_size,2020-02-20 15:38:21,38218.91
svc_req_size,2020-02-20 15:38:36,38322.04
svc_req_size,2020-02-20 15:38:51,44141.89
svc_req_size,2020-02-20 15:39:06,35392.24
svc_req_size,2020-02-20 15:39:21,52970.64
svc_req_size,2020-02-20 15:39:36,35896.49
svc_req_size,2020-02-20 15:39:51,52250.47
