"variable","time","val"
svc_cpu_sat,2020-02-20 12:30:36,0.19
svc_cpu_sat,2020-02-20 12:32:06,0.22
svc_cpu_sat,2020-02-20 12:36:06,0.34
svc_cpu_sat,2020-02-20 12:43:21,0.83
svc_cpu_sat,2020-02-20 12:49:51,1.17
svc_cpu_sat,2020-02-20 12:58:21,0.90
svc_cpu_sat,2020-02-20 13:04:51,1.12
svc_cpu_sat,2020-02-20 13:10:36,0.01
svc_cpu_sat,2020-02-20 13:17:36,1.25
svc_cpu_sat,2020-02-20 13:17:51,1.09
svc_cpu_sat,2020-02-20 13:27:06,1.48
svc_cpu_sat,2020-02-20 13:38:06,0.25
svc_cpu_sat,2020-02-20 13:44:21,1.58
svc_cpu_sat,2020-02-20 13:44:36,0.17
svc_cpu_sat,2020-02-20 13:48:51,0.22
svc_cpu_sat,2020-02-20 13:57:36,0.25
svc_cpu_sat,2020-02-20 14:09:06,1.90
svc_cpu_sat,2020-02-20 14:12:06,0.13
svc_cpu_sat,2020-02-20 14:18:21,0.28
svc_cpu_sat,2020-02-20 14:24:21,0.08
svc_cpu_sat,2020-02-20 14:34:36,0.11
svc_cpu_sat,2020-02-20 14:40:06,1.06
svc_cpu_sat,2020-02-20 14:43:21,0.93
svc_cpu_sat,2020-02-20 14:48:36,0.27
svc_cpu_sat,2020-02-20 14:57:36,0.28
svc_cpu_sat,2020-02-20 15:03:06,1.35
svc_cpu_sat,2020-02-20 15:15:36,1.45
svc_cpu_sat,2020-02-20 15:20:51,1.43
svc_cpu_sat,2020-02-20 15:21:06,1.19
svc_cpu_sat,2020-02-20 15:21:21,0.21
svc_cpu_sat,2020-02-20 15:21:36,1.29
svc_cpu_sat,2020-02-20 15:21:51,1.37
svc_cpu_sat,2020-02-20 15:22:06,1.48
svc_cpu_sat,2020-02-20 15:22:21,1.29
svc_cpu_sat,2020-02-20 15:22:36,1.29
svc_cpu_sat,2020-02-20 15:22:51,0.23
svc_cpu_sat,2020-02-20 15:23:06,0.18
svc_cpu_sat,2020-02-20 15:23:21,0.21
svc_cpu_sat,2020-02-20 15:23:36,1.39
svc_cpu_sat,2020-02-20 15:23:51,1.38
svc_cpu_sat,2020-02-20 15:24:06,0.32
svc_cpu_sat,2020-02-20 15:24:21,1.46
svc_cpu_sat,2020-02-20 15:24:36,1.38
svc_cpu_sat,2020-02-20 15:24:51,0.26
svc_cpu_sat,2020-02-20 15:25:06,1.35
svc_cpu_sat,2020-02-20 15:25:21,1.51
svc_cpu_sat,2020-02-20 15:25:36,1.34
svc_cpu_sat,2020-02-20 15:25:51,1.21
svc_cpu_sat,2020-02-20 15:26:06,0.04
svc_cpu_sat,2020-02-20 15:26:21,0.05
svc_cpu_sat,2020-02-20 15:26:36,1.33
svc_cpu_sat,2020-02-20 15:26:51,1.50
svc_cpu_sat,2020-02-20 15:27:06,1.24
svc_cpu_sat,2020-02-20 15:27:21,1.36
svc_cpu_sat,2020-02-20 15:27:36,0.27
svc_cpu_sat,2020-02-20 15:27:51,0.05
svc_cpu_sat,2020-02-20 15:28:06,1.55
svc_cpu_sat,2020-02-20 15:28:21,1.22
svc_cpu_sat,2020-02-20 15:28:36,1.39
svc_cpu_sat,2020-02-20 15:28:51,1.40
svc_cpu_sat,2020-02-20 15:29:06,1.38
svc_cpu_sat,2020-02-20 15:29:21,1.35
svc_cpu_sat,2020-02-20 15:29:36,1.31
svc_cpu_sat,2020-02-20 15:29:51,0.29
svc_cpu_sat,2020-02-20 15:30:06,0.29
svc_cpu_sat,2020-02-20 15:30:21,1.09
svc_cpu_sat,2020-02-20 15:30:36,0.89
svc_cpu_sat,2020-02-20 15:30:51,0.25
svc_cpu_sat,2020-02-20 15:31:06,1.29
svc_cpu_sat,2020-02-20 15:31:21,1.32
svc_cpu_sat,2020-02-20 15:31:36,1.38
svc_cpu_sat,2020-02-20 15:31:51,1.17
svc_cpu_sat,2020-02-20 15:32:06,1.42
svc_cpu_sat,2020-02-20 15:32:21,1.57
svc_cpu_sat,2020-02-20 15:32:36,0.28
svc_cpu_sat,2020-02-20 15:32:51,1.49
svc_cpu_sat,2020-02-20 15:33:06,1.49
svc_cpu_sat,2020-02-20 15:33:21,1.51
svc_cpu_sat,2020-02-20 15:33:36,1.47
svc_cpu_sat,2020-02-20 15:33:51,1.55
svc_cpu_sat,2020-02-20 15:34:06,1.30
svc_cpu_sat,2020-02-20 15:34:21,1.20
svc_cpu_sat,2020-02-20 15:34:36,1.33
svc_cpu_sat,2020-02-20 15:34:51,1.46
svc_cpu_sat,2020-02-20 15:35:06,0.04
svc_cpu_sat,2020-02-20 15:35:21,0.27
svc_cpu_sat,2020-02-20 15:35:36,0.25
svc_cpu_sat,2020-02-20 15:35:51,0.27
svc_cpu_sat,2020-02-20 15:36:06,1.34
svc_cpu_sat,2020-02-20 15:36:21,1.47
svc_cpu_sat,2020-02-20 15:36:36,0.22
svc_cpu_sat,2020-02-20 15:36:51,0.26
svc_cpu_sat,2020-02-20 15:37:06,1.43
svc_cpu_sat,2020-02-20 15:37:21,1.29
svc_cpu_sat,2020-02-20 15:37:36,1.07
svc_cpu_sat,2020-02-20 15:37:51,1.48
svc_cpu_sat,2020-02-20 15:38:06,1.51
svc_cpu_sat,2020-02-20 15:38:21,0.97
svc_cpu_sat,2020-02-20 15:38:36,0.04
svc_cpu_sat,2020-02-20 15:38:51,1.33
svc_cpu_sat,2020-02-20 15:39:06,1.54
svc_cpu_sat,2020-02-20 15:39:21,1.19
svc_cpu_sat,2020-02-20 15:39:36,0.18
svc_cpu_sat,2020-02-20 15:39:51,0.25
svc_cpu_sat,2020-02-20 15:40:06,0.27
svc_cpu_sat,2020-02-20 15:40:21,1.29
svc_cpu_sat,2020-02-20 15:40:36,1.29
svc_cpu_sat,2020-02-20 15:40:51,1.55
svc_cpu_sat,2020-02-20 15:41:06,0.24
svc_cpu_sat,2020-02-20 15:41:21,1.31
svc_cpu_sat,2020-02-20 15:41:36,1.54
svc_cpu_sat,2020-02-20 15:41:51,1.31
svc_cpu_sat,2020-02-20 15:42:06,1.16
svc_cpu_sat,2020-02-20 15:42:21,1.49
svc_cpu_sat,2020-02-20 15:42:36,1.47
svc_cpu_sat,2020-02-20 15:42:51,1.22
svc_cpu_sat,2020-02-20 15:43:06,1.58
svc_cpu_sat,2020-02-20 15:43:21,1.54
svc_cpu_sat,2020-02-20 15:43:36,1.36
svc_cpu_sat,2020-02-20 15:43:51,1.41
svc_cpu_sat,2020-02-20 15:44:06,1.16
svc_cpu_sat,2020-02-20 15:44:21,1.15
svc_cpu_sat,2020-02-20 15:44:36,1.20
svc_cpu_sat,2020-02-20 15:44:51,0.25
