"variable","time","val"
system_cpu_use,2020-02-20 12:30:36,2.84
system_cpu_use,2020-02-20 12:32:06,2.85
system_cpu_use,2020-02-20 12:36:06,3.51
system_cpu_use,2020-02-20 12:43:21,4.50
system_cpu_use,2020-02-20 12:58:21,5.50
system_cpu_use,2020-02-20 13:04:51,5.62
system_cpu_use,2020-02-20 13:10:36,5.56
system_cpu_use,2020-02-20 13:17:36,5.85
system_cpu_use,2020-02-20 13:17:51,5.83
system_cpu_use,2020-02-20 13:38:06,6.05
system_cpu_use,2020-02-20 13:44:21,6.15
system_cpu_use,2020-02-20 13:44:36,6.19
system_cpu_use,2020-02-20 13:48:51,6.22
system_cpu_use,2020-02-20 13:57:36,6.16
system_cpu_use,2020-02-20 14:24:21,4.82
system_cpu_use,2020-02-20 14:40:06,6.78
system_cpu_use,2020-02-20 14:43:21,6.83
system_cpu_use,2020-02-20 14:48:36,6.96
system_cpu_use,2020-02-20 14:57:36,7.21
system_cpu_use,2020-02-20 15:03:06,7.48
system_cpu_use,2020-02-20 15:15:36,7.85
system_cpu_use,2020-02-20 15:20:51,7.80
system_cpu_use,2020-02-20 15:21:06,7.75
system_cpu_use,2020-02-20 15:21:21,7.73
system_cpu_use,2020-02-20 15:22:06,7.74
system_cpu_use,2020-02-20 15:22:21,7.71
system_cpu_use,2020-02-20 15:22:36,7.76
system_cpu_use,2020-02-20 15:23:21,7.79
system_cpu_use,2020-02-20 15:23:36,7.85
system_cpu_use,2020-02-20 15:23:51,7.72
system_cpu_use,2020-02-20 15:24:06,7.72
system_cpu_use,2020-02-20 15:24:21,7.77
system_cpu_use,2020-02-20 15:24:36,7.89
system_cpu_use,2020-02-20 15:24:51,7.81
system_cpu_use,2020-02-20 15:25:21,7.64
system_cpu_use,2020-02-20 15:25:36,7.70
system_cpu_use,2020-02-20 15:25:51,7.83
system_cpu_use,2020-02-20 15:26:36,7.68
system_cpu_use,2020-02-20 15:26:51,7.67
system_cpu_use,2020-02-20 15:27:06,7.66
system_cpu_use,2020-02-20 15:27:21,7.60
system_cpu_use,2020-02-20 15:27:36,7.61
system_cpu_use,2020-02-20 15:27:51,7.63
system_cpu_use,2020-02-20 15:28:36,7.94
system_cpu_use,2020-02-20 15:28:51,7.83
system_cpu_use,2020-02-20 15:29:06,7.82
system_cpu_use,2020-02-20 15:29:21,7.79
system_cpu_use,2020-02-20 15:29:36,7.84
system_cpu_use,2020-02-20 15:29:51,7.84
system_cpu_use,2020-02-20 15:30:06,7.75
system_cpu_use,2020-02-20 15:30:21,7.63
system_cpu_use,2020-02-20 15:30:36,7.72
system_cpu_use,2020-02-20 15:30:51,7.79
system_cpu_use,2020-02-20 15:31:06,7.86
system_cpu_use,2020-02-20 15:31:21,7.84
system_cpu_use,2020-02-20 15:31:36,7.94
system_cpu_use,2020-02-20 15:31:51,7.99
system_cpu_use,2020-02-20 15:32:06,7.91
system_cpu_use,2020-02-20 15:32:21,7.79
