"variable","time","val"
system_cpu_sat,2020-02-20 12:30:36,56.92
system_cpu_sat,2020-02-20 12:36:06,77.92
system_cpu_sat,2020-02-20 12:49:51,117.75
system_cpu_sat,2020-02-20 13:04:51,106.50
system_cpu_sat,2020-02-20 13:10:36,183.17
system_cpu_sat,2020-02-20 13:17:36,209.33
system_cpu_sat,2020-02-20 13:17:51,210.83
system_cpu_sat,2020-02-20 13:38:06,168.42
system_cpu_sat,2020-02-20 13:44:21,231.42
system_cpu_sat,2020-02-20 13:44:36,210.58
system_cpu_sat,2020-02-20 13:48:51,162.58
system_cpu_sat,2020-02-20 13:57:36,138.00
system_cpu_sat,2020-02-20 14:12:06,109.25
system_cpu_sat,2020-02-20 14:18:21,115.58
system_cpu_sat,2020-02-20 14:34:36,164.92
system_cpu_sat,2020-02-20 14:40:06,139.67
system_cpu_sat,2020-02-20 14:48:36,160.17
system_cpu_sat,2020-02-20 14:57:36,267.42
system_cpu_sat,2020-02-20 15:15:36,294.00
system_cpu_sat,2020-02-20 15:21:06,170.83
system_cpu_sat,2020-02-20 15:21:21,169.75
system_cpu_sat,2020-02-20 15:21:36,163.42
system_cpu_sat,2020-02-20 15:21:51,191.58
system_cpu_sat,2020-02-20 15:22:06,225.75
system_cpu_sat,2020-02-20 15:22:21,252.33
system_cpu_sat,2020-02-20 15:22:36,287.17
system_cpu_sat,2020-02-20 15:22:51,294.17
system_cpu_sat,2020-02-20 15:23:06,311.92
system_cpu_sat,2020-02-20 15:23:36,320.42
system_cpu_sat,2020-02-20 15:23:51,309.42
system_cpu_sat,2020-02-20 15:24:06,284.00
system_cpu_sat,2020-02-20 15:24:21,272.58
system_cpu_sat,2020-02-20 15:24:36,261.33
system_cpu_sat,2020-02-20 15:24:51,249.17
system_cpu_sat,2020-02-20 15:25:06,233.17
system_cpu_sat,2020-02-20 15:25:21,239.08
system_cpu_sat,2020-02-20 15:25:36,240.50
system_cpu_sat,2020-02-20 15:25:51,210.75
system_cpu_sat,2020-02-20 15:26:06,200.17
system_cpu_sat,2020-02-20 15:26:21,193.08
system_cpu_sat,2020-02-20 15:26:51,172.25
system_cpu_sat,2020-02-20 15:27:06,166.58
system_cpu_sat,2020-02-20 15:27:51,169.33
system_cpu_sat,2020-02-20 15:28:36,163.83
system_cpu_sat,2020-02-20 15:28:51,155.92
system_cpu_sat,2020-02-20 15:29:06,147.17
system_cpu_sat,2020-02-20 15:29:21,146.25
system_cpu_sat,2020-02-20 15:29:36,157.67
system_cpu_sat,2020-02-20 15:29:51,152.58
system_cpu_sat,2020-02-20 15:30:06,162.75
system_cpu_sat,2020-02-20 15:30:21,189.67
system_cpu_sat,2020-02-20 15:30:36,233.58
system_cpu_sat,2020-02-20 15:30:51,258.67
system_cpu_sat,2020-02-20 15:31:06,272.33
system_cpu_sat,2020-02-20 15:31:21,291.17
system_cpu_sat,2020-02-20 15:31:36,290.42
system_cpu_sat,2020-02-20 15:31:51,298.50
system_cpu_sat,2020-02-20 15:32:06,290.75
system_cpu_sat,2020-02-20 15:32:21,283.33
system_cpu_sat,2020-02-20 15:32:36,271.00
system_cpu_sat,2020-02-20 15:33:06,233.08
system_cpu_sat,2020-02-20 15:33:21,237.75
system_cpu_sat,2020-02-20 15:33:36,225.50
system_cpu_sat,2020-02-20 15:33:51,214.58
system_cpu_sat,2020-02-20 15:34:06,217.25
system_cpu_sat,2020-02-20 15:34:21,227.42
system_cpu_sat,2020-02-20 15:34:36,216.50
system_cpu_sat,2020-02-20 15:34:51,210.00
system_cpu_sat,2020-02-20 15:35:06,203.33
system_cpu_sat,2020-02-20 15:35:21,206.00
system_cpu_sat,2020-02-20 15:36:21,224.42
system_cpu_sat,2020-02-20 15:36:36,203.58
system_cpu_sat,2020-02-20 15:36:51,196.67
