"variable","time","val"
system_cpu_sat,2020-02-17 08:36:21,69.58
system_cpu_sat,2020-02-17 08:36:36,75.08
system_cpu_sat,2020-02-17 08:36:51,75.67
system_cpu_sat,2020-02-17 08:37:06,76.08
system_cpu_sat,2020-02-17 08:37:21,70.75
system_cpu_sat,2020-02-17 08:37:36,78.92
system_cpu_sat,2020-02-17 08:37:51,83.08
system_cpu_sat,2020-02-17 08:38:06,85.58
system_cpu_sat,2020-02-17 08:38:21,80.58
system_cpu_sat,2020-02-17 08:38:36,76.17
system_cpu_sat,2020-02-17 08:38:51,72.00
system_cpu_sat,2020-02-17 08:39:06,73.08
system_cpu_sat,2020-02-17 08:39:21,71.25
system_cpu_sat,2020-02-17 08:39:36,71.92
system_cpu_sat,2020-02-17 08:39:51,67.25
system_cpu_sat,2020-02-17 08:40:06,71.33
system_cpu_sat,2020-02-17 08:40:21,65.42
system_cpu_sat,2020-02-17 08:40:36,64.08
system_cpu_sat,2020-02-17 08:40:51,60.83
system_cpu_sat,2020-02-17 08:41:06,63.50
system_cpu_sat,2020-02-17 08:41:21,61.67
system_cpu_sat,2020-02-17 08:41:36,64.92
system_cpu_sat,2020-02-17 08:41:51,64.17
system_cpu_sat,2020-02-17 08:42:06,60.33
system_cpu_sat,2020-02-17 08:42:21,58.67
system_cpu_sat,2020-02-17 08:42:36,54.33
system_cpu_sat,2020-02-17 08:42:51,52.75
system_cpu_sat,2020-02-17 08:43:06,53.83
system_cpu_sat,2020-02-17 08:43:21,56.33
system_cpu_sat,2020-02-17 08:43:36,56.50
system_cpu_sat,2020-02-17 08:43:51,62.83
system_cpu_sat,2020-02-17 08:44:06,66.67
system_cpu_sat,2020-02-17 08:44:21,66.50
system_cpu_sat,2020-02-17 08:44:36,65.42
system_cpu_sat,2020-02-17 08:44:51,62.58
system_cpu_sat,2020-02-17 08:45:06,71.92
system_cpu_sat,2020-02-17 08:45:21,67.17
system_cpu_sat,2020-02-17 08:45:36,63.33
system_cpu_sat,2020-02-17 08:45:51,68.33
system_cpu_sat,2020-02-17 08:46:06,70.33
system_cpu_sat,2020-02-17 08:46:21,67.08
system_cpu_sat,2020-02-17 08:46:36,65.67
system_cpu_sat,2020-02-17 08:46:51,65.08
system_cpu_sat,2020-02-17 08:47:06,64.92
system_cpu_sat,2020-02-17 08:47:21,61.08
system_cpu_sat,2020-02-17 08:47:36,61.08
system_cpu_sat,2020-02-17 08:47:51,63.75
system_cpu_sat,2020-02-17 08:48:06,60.17
system_cpu_sat,2020-02-17 08:48:21,65.17
system_cpu_sat,2020-02-17 08:48:36,71.08
system_cpu_sat,2020-02-17 08:48:51,74.50
system_cpu_sat,2020-02-17 08:49:06,89.83
system_cpu_sat,2020-02-17 08:49:21,89.75
system_cpu_sat,2020-02-17 08:49:36,81.50
system_cpu_sat,2020-02-17 08:49:51,74.42
system_cpu_sat,2020-02-17 08:50:06,73.75
system_cpu_sat,2020-02-17 08:50:21,69.33
system_cpu_sat,2020-02-17 08:50:36,63.83
system_cpu_sat,2020-02-17 08:50:51,61.92
system_cpu_sat,2020-02-17 08:51:06,64.58
system_cpu_sat,2020-02-17 08:51:21,71.42
system_cpu_sat,2020-02-17 08:51:36,66.67
system_cpu_sat,2020-02-17 08:51:51,67.75
system_cpu_sat,2020-02-17 08:52:06,77.58
system_cpu_sat,2020-02-17 08:52:21,72.00
system_cpu_sat,2020-02-17 08:52:36,72.25
system_cpu_sat,2020-02-17 08:52:51,68.75
system_cpu_sat,2020-02-17 08:53:06,73.08
system_cpu_sat,2020-02-17 08:53:21,72.25
system_cpu_sat,2020-02-17 08:53:36,77.17
system_cpu_sat,2020-02-17 08:53:51,74.75
system_cpu_sat,2020-02-17 08:54:06,89.08
system_cpu_sat,2020-02-17 08:54:21,84.08
system_cpu_sat,2020-02-17 08:54:36,85.67
system_cpu_sat,2020-02-17 08:54:51,88.08
system_cpu_sat,2020-02-17 08:55:06,88.25
system_cpu_sat,2020-02-17 08:55:21,93.58
system_cpu_sat,2020-02-17 08:55:36,104.58
