"variable","time","val"
svc_req_size,2020-02-17 08:36:51,1787.11
svc_req_size,2020-02-17 08:37:06,2833.50
svc_req_size,2020-02-17 08:37:21,3665.71
svc_req_size,2020-02-17 08:37:36,3448.71
svc_req_size,2020-02-17 08:37:51,3552.26
svc_req_size,2020-02-17 08:38:06,2529.75
svc_req_size,2020-02-17 08:38:21,3371.50
svc_req_size,2020-02-17 08:38:36,3243.66
svc_req_size,2020-02-17 08:38:51,3273.97
svc_req_size,2020-02-17 08:39:06,3511.63
svc_req_size,2020-02-17 08:39:21,2862.58
svc_req_size,2020-02-17 08:39:36,3670.67
svc_req_size,2020-02-17 08:39:51,3546.94
svc_req_size,2020-02-17 08:40:06,3033.38
svc_req_size,2020-02-17 08:40:21,3294.08
svc_req_size,2020-02-17 08:40:36,3030.67
svc_req_size,2020-02-17 08:40:51,3030.45
svc_req_size,2020-02-17 08:41:06,3056.98
svc_req_size,2020-02-17 08:41:21,2913.62
svc_req_size,2020-02-17 08:41:36,3821.82
svc_req_size,2020-02-17 08:41:51,4985.11
svc_req_size,2020-02-17 08:42:06,6913.71
svc_req_size,2020-02-17 08:42:21,6401.67
svc_req_size,2020-02-17 08:42:36,3048.89
svc_req_size,2020-02-17 08:42:51,6729.25
svc_req_size,2020-02-17 08:43:06,6263.30
svc_req_size,2020-02-17 08:43:21,6127.75
svc_req_size,2020-02-17 08:43:36,6303.99
svc_req_size,2020-02-17 08:43:51,6346.33
svc_req_size,2020-02-17 08:44:06,6307.71
svc_req_size,2020-02-17 08:44:21,5912.69
svc_req_size,2020-02-17 08:44:36,6083.38
svc_req_size,2020-02-17 08:44:51,6192.80
svc_req_size,2020-02-17 08:45:06,6326.36
svc_req_size,2020-02-17 08:45:21,6146.30
svc_req_size,2020-02-17 08:45:36,6106.50
svc_req_size,2020-02-17 08:45:51,6176.87
svc_req_size,2020-02-17 08:46:06,6211.42
svc_req_size,2020-02-17 08:46:21,6461.56
svc_req_size,2020-02-17 08:46:36,7503.40
svc_req_size,2020-02-17 08:46:51,8783.03
svc_req_size,2020-02-17 08:47:06,10357.79
svc_req_size,2020-02-17 08:47:21,8896.31
svc_req_size,2020-02-17 08:47:36,9010.18
svc_req_size,2020-02-17 08:47:51,9902.09
svc_req_size,2020-02-17 08:48:06,9952.53
svc_req_size,2020-02-17 08:48:21,9064.64
svc_req_size,2020-02-17 08:48:36,10208.45
svc_req_size,2020-02-17 08:48:51,10448.65
svc_req_size,2020-02-17 08:49:06,10230.88
svc_req_size,2020-02-17 08:49:21,10467.18
svc_req_size,2020-02-17 08:49:36,10353.26
svc_req_size,2020-02-17 08:49:51,7268.21
svc_req_size,2020-02-17 08:50:06,10095.02
svc_req_size,2020-02-17 08:50:21,10088.88
svc_req_size,2020-02-17 08:50:36,10091.71
svc_req_size,2020-02-17 08:50:51,9560.73
svc_req_size,2020-02-17 08:51:06,9380.98
svc_req_size,2020-02-17 08:51:21,9486.09
svc_req_size,2020-02-17 08:51:36,10780.44
svc_req_size,2020-02-17 08:51:51,11696.62
svc_req_size,2020-02-17 08:52:06,12078.43
svc_req_size,2020-02-17 08:52:21,12217.58
svc_req_size,2020-02-17 08:52:36,11985.62
svc_req_size,2020-02-17 08:52:51,10999.73
svc_req_size,2020-02-17 08:53:06,10620.00
svc_req_size,2020-02-17 08:53:21,8663.81
