"variable","time","val"
svc_req_rate,2020-02-17 08:36:51,0.98
svc_req_rate,2020-02-17 08:37:06,1.62
svc_req_rate,2020-02-17 08:37:21,2.18
svc_req_rate,2020-02-17 08:37:36,2.13
svc_req_rate,2020-02-17 08:37:51,2.22
svc_req_rate,2020-02-17 08:38:06,2.09
svc_req_rate,2020-02-17 08:38:21,2.09
svc_req_rate,2020-02-17 08:38:36,2.00
svc_req_rate,2020-02-17 08:38:51,2.00
svc_req_rate,2020-02-17 08:39:06,2.09
svc_req_rate,2020-02-17 08:39:21,1.96
svc_req_rate,2020-02-17 08:39:36,2.18
svc_req_rate,2020-02-17 08:39:51,2.22
svc_req_rate,2020-02-17 08:40:06,2.18
svc_req_rate,2020-02-17 08:40:21,2.09
svc_req_rate,2020-02-17 08:40:36,1.82
svc_req_rate,2020-02-17 08:40:51,1.82
svc_req_rate,2020-02-17 08:41:06,1.78
svc_req_rate,2020-02-17 08:41:21,1.73
svc_req_rate,2020-02-17 08:41:36,2.31
svc_req_rate,2020-02-17 08:41:51,3.07
svc_req_rate,2020-02-17 08:42:06,4.27
svc_req_rate,2020-02-17 08:42:21,4.44
svc_req_rate,2020-02-17 08:42:36,4.40
svc_req_rate,2020-02-17 08:42:51,4.00
svc_req_rate,2020-02-17 08:43:06,3.69
svc_req_rate,2020-02-17 08:43:21,3.56
svc_req_rate,2020-02-17 08:43:36,3.87
svc_req_rate,2020-02-17 08:43:51,4.00
svc_req_rate,2020-02-17 08:44:06,3.96
svc_req_rate,2020-02-17 08:44:21,3.73
svc_req_rate,2020-02-17 08:44:36,3.87
svc_req_rate,2020-02-17 08:44:51,3.96
svc_req_rate,2020-02-17 08:45:06,3.96
svc_req_rate,2020-02-17 08:45:21,3.82
svc_req_rate,2020-02-17 08:45:36,3.69
svc_req_rate,2020-02-17 08:45:51,3.64
svc_req_rate,2020-02-17 08:46:06,3.73
svc_req_rate,2020-02-17 08:46:21,4.09
svc_req_rate,2020-02-17 08:46:36,4.64
svc_req_rate,2020-02-17 08:46:51,5.51
svc_req_rate,2020-02-17 08:47:06,6.22
svc_req_rate,2020-02-17 08:47:21,6.38
svc_req_rate,2020-02-17 08:47:36,6.18
svc_req_rate,2020-02-17 08:47:51,6.18
svc_req_rate,2020-02-17 08:48:06,6.13
svc_req_rate,2020-02-17 08:48:21,6.27
svc_req_rate,2020-02-17 08:48:36,6.18
svc_req_rate,2020-02-17 08:48:51,6.31
svc_req_rate,2020-02-17 08:49:06,6.18
svc_req_rate,2020-02-17 08:49:21,6.31
svc_req_rate,2020-02-17 08:49:36,6.27
svc_req_rate,2020-02-17 08:49:51,6.36
svc_req_rate,2020-02-17 08:50:06,6.22
svc_req_rate,2020-02-17 08:50:21,6.22
svc_req_rate,2020-02-17 08:50:36,6.09
svc_req_rate,2020-02-17 08:50:51,5.78
svc_req_rate,2020-02-17 08:51:06,5.73
svc_req_rate,2020-02-17 08:51:21,5.82
svc_req_rate,2020-02-17 08:51:36,6.67
svc_req_rate,2020-02-17 08:51:51,7.16
svc_req_rate,2020-02-17 08:52:06,7.29
svc_req_rate,2020-02-17 08:52:21,7.33
svc_req_rate,2020-02-17 08:52:36,7.33
svc_req_rate,2020-02-17 08:52:51,7.64
svc_req_rate,2020-02-17 08:53:06,7.69
svc_req_rate,2020-02-17 08:53:21,7.73
svc_req_rate,2020-02-17 08:53:36,8.27
svc_req_rate,2020-02-17 08:53:51,8.40
svc_req_rate,2020-02-17 08:54:06,8.22
svc_req_rate,2020-02-17 08:54:21,8.36
svc_req_rate,2020-02-17 08:54:36,8.18
svc_req_rate,2020-02-17 08:54:51,8.13
svc_req_rate,2020-02-17 08:55:06,7.56
svc_req_rate,2020-02-17 08:55:21,7.38
svc_req_rate,2020-02-17 08:55:36,7.51
svc_req_rate,2020-02-17 08:55:51,7.56
svc_req_rate,2020-02-17 08:56:06,7.60
svc_req_rate,2020-02-17 08:56:21,8.09
svc_req_rate,2020-02-17 08:56:36,8.49
svc_req_rate,2020-02-17 08:56:51,9.38
svc_req_rate,2020-02-17 08:57:06,9.73
svc_req_rate,2020-02-17 08:57:21,9.96
svc_req_rate,2020-02-17 08:57:36,10.00
svc_req_rate,2020-02-17 08:57:51,9.96
svc_req_rate,2020-02-17 08:58:06,9.82
svc_req_rate,2020-02-17 08:58:21,9.42
svc_req_rate,2020-02-17 08:58:36,9.47
svc_req_rate,2020-02-17 08:58:51,9.58
svc_req_rate,2020-02-17 08:59:06,9.64
svc_req_rate,2020-02-17 08:59:21,9.64
svc_req_rate,2020-02-17 08:59:36,9.71
svc_req_rate,2020-02-17 08:59:51,9.64
svc_req_rate,2020-02-17 09:00:06,9.78
svc_req_rate,2020-02-17 09:00:21,9.91
svc_req_rate,2020-02-17 09:00:36,10.13
svc_req_rate,2020-02-17 09:00:51,9.73
svc_req_rate,2020-02-17 09:01:06,9.87
svc_req_rate,2020-02-17 09:01:21,9.96
svc_req_rate,2020-02-17 09:01:36,10.67
svc_req_rate,2020-02-17 09:01:51,10.93
svc_req_rate,2020-02-17 09:02:06,10.58
svc_req_rate,2020-02-17 09:02:21,10.44
svc_req_rate,2020-02-17 09:02:36,10.89
svc_req_rate,2020-02-17 09:02:51,11.64
svc_req_rate,2020-02-17 09:03:06,12.04
svc_req_rate,2020-02-17 09:03:21,11.69
svc_req_rate,2020-02-17 09:03:36,12.13
svc_req_rate,2020-02-17 09:03:51,11.78
svc_req_rate,2020-02-17 09:04:06,11.91
svc_req_rate,2020-02-17 09:04:21,11.38
svc_req_rate,2020-02-17 09:04:36,11.67
svc_req_rate,2020-02-17 09:04:51,11.29
svc_req_rate,2020-02-17 09:05:06,10.58
svc_req_rate,2020-02-17 09:05:21,10.69
svc_req_rate,2020-02-17 09:05:36,10.67
svc_req_rate,2020-02-17 09:05:51,11.29
svc_req_rate,2020-02-17 09:06:06,10.89
svc_req_rate,2020-02-17 09:06:21,10.76
svc_req_rate,2020-02-17 09:06:36,10.62
svc_req_rate,2020-02-17 09:06:51,11.38
svc_req_rate,2020-02-17 09:07:06,12.53
svc_req_rate,2020-02-17 09:07:21,13.27
svc_req_rate,2020-02-17 09:07:51,12.93
svc_req_rate,2020-02-17 09:08:06,13.27
svc_req_rate,2020-02-17 09:08:21,13.24
svc_req_rate,2020-02-17 09:08:36,12.84
svc_req_rate,2020-02-17 09:08:51,13.00
svc_req_rate,2020-02-17 09:09:06,12.93
svc_req_rate,2020-02-17 09:09:21,12.80
svc_req_rate,2020-02-17 09:09:36,12.16
svc_req_rate,2020-02-17 09:09:51,12.18
svc_req_rate,2020-02-17 09:10:06,12.67
svc_req_rate,2020-02-17 09:10:21,13.11
svc_req_rate,2020-02-17 09:10:36,13.78
svc_req_rate,2020-02-17 09:10:51,13.78
svc_req_rate,2020-02-17 09:11:06,13.56
svc_req_rate,2020-02-17 09:11:21,13.16
svc_req_rate,2020-02-17 09:11:36,13.60
svc_req_rate,2020-02-17 09:11:51,13.96
svc_req_rate,2020-02-17 09:12:06,14.62
svc_req_rate,2020-02-17 09:12:21,14.62
svc_req_rate,2020-02-17 09:12:51,14.22
svc_req_rate,2020-02-17 09:13:21,14.40
svc_req_rate,2020-02-17 09:13:36,15.40
svc_req_rate,2020-02-17 09:13:51,15.47
svc_req_rate,2020-02-17 09:14:06,15.47
svc_req_rate,2020-02-17 09:14:36,14.84
svc_req_rate,2020-02-17 09:15:06,14.53
svc_req_rate,2020-02-17 09:15:36,14.44
svc_req_rate,2020-02-17 09:15:51,14.09
svc_req_rate,2020-02-17 09:16:21,13.73
svc_req_rate,2020-02-17 09:16:51,14.93
svc_req_rate,2020-02-17 09:17:21,15.53
svc_req_rate,2020-02-17 09:17:36,15.69
svc_req_rate,2020-02-17 09:18:06,15.51
svc_req_rate,2020-02-17 09:19:06,16.29
svc_req_rate,2020-02-17 09:19:21,15.51
svc_req_rate,2020-02-17 09:19:36,15.07
svc_req_rate,2020-02-17 09:20:06,15.16
svc_req_rate,2020-02-17 09:20:21,15.11
svc_req_rate,2020-02-17 09:20:51,15.51
svc_req_rate,2020-02-17 09:21:21,16.84
svc_req_rate,2020-02-17 09:21:36,16.36
svc_req_rate,2020-02-17 09:22:06,16.31
svc_req_rate,2020-02-17 09:22:21,17.47
svc_req_rate,2020-02-17 09:22:51,17.29
svc_req_rate,2020-02-17 09:23:06,16.36
svc_req_rate,2020-02-17 09:23:21,16.22
svc_req_rate,2020-02-17 09:24:06,17.29
svc_req_rate,2020-02-17 09:24:51,16.98
svc_req_rate,2020-02-17 09:25:06,17.24
svc_req_rate,2020-02-17 09:25:21,17.47
svc_req_rate,2020-02-17 09:25:36,17.11
svc_req_rate,2020-02-17 09:25:51,16.60
svc_req_rate,2020-02-17 09:26:06,16.69
svc_req_rate,2020-02-17 09:26:21,17.02
svc_req_rate,2020-02-17 09:26:36,17.18
svc_req_rate,2020-02-17 09:26:51,17.22
svc_req_rate,2020-02-17 09:27:06,17.24
svc_req_rate,2020-02-17 09:27:36,18.27
svc_req_rate,2020-02-17 09:28:06,17.69
svc_req_rate,2020-02-17 09:28:36,18.22
svc_req_rate,2020-02-17 09:28:51,18.18
svc_req_rate,2020-02-17 09:29:21,17.87
svc_req_rate,2020-02-17 09:29:51,17.96
svc_req_rate,2020-02-17 09:30:21,17.93
