"variable","time","val"
system_cpu_use,2020-02-17 08:36:06,1.55
system_cpu_use,2020-02-17 08:36:21,1.65
system_cpu_use,2020-02-17 08:36:36,1.85
system_cpu_use,2020-02-17 08:36:51,2.03
system_cpu_use,2020-02-17 08:37:06,2.13
system_cpu_use,2020-02-17 08:37:21,2.10
system_cpu_use,2020-02-17 08:37:36,2.04
system_cpu_use,2020-02-17 08:37:51,2.02
system_cpu_use,2020-02-17 08:38:06,2.08
system_cpu_use,2020-02-17 08:38:21,2.10
system_cpu_use,2020-02-17 08:38:36,2.11
system_cpu_use,2020-02-17 08:38:51,2.03
system_cpu_use,2020-02-17 08:39:06,2.01
system_cpu_use,2020-02-17 08:39:21,2.06
system_cpu_use,2020-02-17 08:39:36,2.04
system_cpu_use,2020-02-17 08:39:51,2.04
system_cpu_use,2020-02-17 08:40:06,2.00
system_cpu_use,2020-02-17 08:40:21,1.99
system_cpu_use,2020-02-17 08:40:36,1.98
system_cpu_use,2020-02-17 08:40:51,1.94
system_cpu_use,2020-02-17 08:41:06,1.97
system_cpu_use,2020-02-17 08:41:21,2.01
system_cpu_use,2020-02-17 08:41:36,2.15
system_cpu_use,2020-02-17 08:41:51,2.35
system_cpu_use,2020-02-17 08:42:06,2.47
system_cpu_use,2020-02-17 08:42:21,2.55
system_cpu_use,2020-02-17 08:42:36,2.45
system_cpu_use,2020-02-17 08:42:51,2.44
system_cpu_use,2020-02-17 08:43:06,2.43
system_cpu_use,2020-02-17 08:43:21,2.46
system_cpu_use,2020-02-17 08:43:36,2.49
system_cpu_use,2020-02-17 08:43:51,2.44
system_cpu_use,2020-02-17 08:44:06,2.41
system_cpu_use,2020-02-17 08:44:21,2.38
system_cpu_use,2020-02-17 08:44:36,2.33
system_cpu_use,2020-02-17 08:44:51,2.36
system_cpu_use,2020-02-17 08:45:06,2.35
system_cpu_use,2020-02-17 08:45:21,2.42
system_cpu_use,2020-02-17 08:45:36,2.35
system_cpu_use,2020-02-17 08:45:51,2.39
system_cpu_use,2020-02-17 08:46:06,2.36
system_cpu_use,2020-02-17 08:46:21,2.47
system_cpu_use,2020-02-17 08:46:36,2.55
system_cpu_use,2020-02-17 08:46:51,2.78
system_cpu_use,2020-02-17 08:47:06,2.91
system_cpu_use,2020-02-17 08:47:21,2.93
system_cpu_use,2020-02-17 08:47:36,2.78
system_cpu_use,2020-02-17 08:47:51,2.77
system_cpu_use,2020-02-17 08:48:06,2.87
system_cpu_use,2020-02-17 08:48:21,3.01
system_cpu_use,2020-02-17 08:48:36,3.07
system_cpu_use,2020-02-17 08:48:51,3.01
system_cpu_use,2020-02-17 08:49:06,2.97
system_cpu_use,2020-02-17 08:49:21,2.96
system_cpu_use,2020-02-17 08:49:36,2.90
system_cpu_use,2020-02-17 08:49:51,2.88
system_cpu_use,2020-02-17 08:50:06,2.82
system_cpu_use,2020-02-17 08:50:21,2.83
system_cpu_use,2020-02-17 08:50:36,2.80
system_cpu_use,2020-02-17 08:50:51,2.80
system_cpu_use,2020-02-17 08:51:06,2.80
system_cpu_use,2020-02-17 08:51:21,2.85
system_cpu_use,2020-02-17 08:51:36,2.94
system_cpu_use,2020-02-17 08:51:51,2.99
system_cpu_use,2020-02-17 08:52:06,3.06
system_cpu_use,2020-02-17 08:52:21,3.14
system_cpu_use,2020-02-17 08:52:36,3.19
system_cpu_use,2020-02-17 08:52:51,3.16
system_cpu_use,2020-02-17 08:53:06,3.18
system_cpu_use,2020-02-17 08:53:21,3.29
system_cpu_use,2020-02-17 08:53:36,3.39
system_cpu_use,2020-02-17 08:53:51,3.29
system_cpu_use,2020-02-17 08:54:06,3.21
system_cpu_use,2020-02-17 08:54:21,3.16
system_cpu_use,2020-02-17 08:54:36,3.19
system_cpu_use,2020-02-17 08:54:51,3.12
system_cpu_use,2020-02-17 08:55:06,3.05
system_cpu_use,2020-02-17 08:55:21,2.99
system_cpu_use,2020-02-17 08:55:36,3.05
system_cpu_use,2020-02-17 08:55:51,3.17
system_cpu_use,2020-02-17 08:56:06,3.21
system_cpu_use,2020-02-17 08:56:21,3.24
system_cpu_use,2020-02-17 08:56:36,3.31
system_cpu_use,2020-02-17 08:56:51,3.48
system_cpu_use,2020-02-17 08:57:06,3.62
system_cpu_use,2020-02-17 08:57:21,3.65
