"variable","time","val"
svc_cpu_use,2020-02-17 08:36:06,0.09
svc_cpu_use,2020-02-17 08:36:21,0.09
svc_cpu_use,2020-02-17 08:36:36,0.15
svc_cpu_use,2020-02-17 08:36:51,0.31
svc_cpu_use,2020-02-17 08:37:06,0.38
svc_cpu_use,2020-02-17 08:37:21,0.37
svc_cpu_use,2020-02-17 08:37:36,0.39
svc_cpu_use,2020-02-17 08:37:51,0.37
svc_cpu_use,2020-02-17 08:38:06,0.34
svc_cpu_use,2020-02-17 08:38:21,0.33
svc_cpu_use,2020-02-17 08:38:36,0.36
svc_cpu_use,2020-02-17 08:38:51,0.36
svc_cpu_use,2020-02-17 08:39:06,0.36
svc_cpu_use,2020-02-17 08:39:21,0.34
svc_cpu_use,2020-02-17 08:39:36,0.34
svc_cpu_use,2020-02-17 08:39:51,0.20
svc_cpu_use,2020-02-17 08:40:06,0.37
svc_cpu_use,2020-02-17 08:40:21,0.34
svc_cpu_use,2020-02-17 08:40:36,0.35
svc_cpu_use,2020-02-17 08:40:51,0.35
svc_cpu_use,2020-02-17 08:41:06,0.32
svc_cpu_use,2020-02-17 08:41:21,0.33
svc_cpu_use,2020-02-17 08:41:36,0.40
svc_cpu_use,2020-02-17 08:41:51,0.48
svc_cpu_use,2020-02-17 08:42:06,0.53
svc_cpu_use,2020-02-17 08:42:21,0.60
svc_cpu_use,2020-02-17 08:42:36,0.63
svc_cpu_use,2020-02-17 08:42:51,0.57
svc_cpu_use,2020-02-17 08:43:06,0.53
svc_cpu_use,2020-02-17 08:43:21,0.53
svc_cpu_use,2020-02-17 08:43:36,0.51
svc_cpu_use,2020-02-17 08:43:51,0.58
svc_cpu_use,2020-02-17 08:44:06,0.55
svc_cpu_use,2020-02-17 08:44:21,0.52
svc_cpu_use,2020-02-17 08:44:36,0.56
svc_cpu_use,2020-02-17 08:44:51,0.50
svc_cpu_use,2020-02-17 08:45:06,0.50
svc_cpu_use,2020-02-17 08:45:21,0.50
svc_cpu_use,2020-02-17 08:45:36,0.54
svc_cpu_use,2020-02-17 08:45:51,0.53
svc_cpu_use,2020-02-17 08:46:06,0.55
svc_cpu_use,2020-02-17 08:46:21,0.58
svc_cpu_use,2020-02-17 08:46:36,0.58
svc_cpu_use,2020-02-17 08:46:51,0.64
svc_cpu_use,2020-02-17 08:47:06,0.87
svc_cpu_use,2020-02-17 08:47:21,0.83
svc_cpu_use,2020-02-17 08:47:36,0.73
