svc_usage_tol,system_workload_tol,ltcy
-10.581,-5.312,0.332
-10.217,-5.127,0.4
-10.083,-5.139,0.469
-9.6,-5.146,0.49
-9.263,-5.514,0.5
-10.03,-4.991,0.5
-10.143,-5.193,0.781
-10.169,-5.108,0.5
-9.428,-5.009,0.5
-9.661,-4.873,0.469
-10.354,-5.107,0.49
-9.76,-5.041,0.5
-9.85,-5.201,0.5
-9.974,-5.149,0.49
-10.16,-5.223,0.48
-9.743,-5.584,0.49
-9.689,-5.172,0.5
-10.193,-5.219,0.5
-10.379,-5.209,0.49
-9.619,-4.954,0.583
-8.757,-4.927,0.574
-8.093,-5.439,0.51
-7.989,-5.21,0.49
-7.85,-4.928,0.48
-7.631,-4.895,0.49
-7.867,-5.069,0.548
-8.674,-5.02,0.557
-8.061,-4.826,0.6
-7.532,-4.741,0.592
-8.111,-4.857,0.6
-8.747,-4.994,0.5
-7.936,-4.841,0.48
-7.81,-4.917,0.49
-8.167,-5.004,0.6
-8.781,-4.972,0.648
-8.644,-5.292,0.7
-7.667,-5.106,0.6
-7.557,-4.949,0.7
-8.146,-4.912,0.632
-7.553,-4.714,0.671
-6.7,-4.672,0.49
-6.03,-4.677,0.5
-6.529,-4.946,0.64
-5.942,-4.939,0.648
-5.772,-4.685,0.656
-6.65,-4.656,0.583
-6.035,-4.804,0.6
-5.508,-4.667,0.5
-5.375,-4.51,0.5
-5.28,-4.554,0.5
-6.267,-4.65,0.529
-5.813,-4.793,0.5
-5.882,-4.563,0.49
-6.551,-4.746,0.49
-6.639,-4.753,0.5
-5.869,-4.668,0.632
-6.052,-4.741,0.64
-5.755,-4.732,0.656
-6.943,-4.771,0.5
-5.938,-4.63,0.5
-5.172,-4.52,0.64
-5.123,-4.62,0.768
-5.638,-4.596,0.768
-4.287,-4.502,0.775
-4.494,-4.49,0.624
-5.132,-4.562,0.663
-5.772,-4.892,0.624
-4.116,-4.601,0.624
-3.693,-5.085,0.64
-3.856,-4.409,0.686
-5.257,-4.465,0.678
-4.585,-4.373,0.64
-3.774,-4.352,0.583
-4.435,-4.416,0.648
-6.135,-4.396,0.64
-5.257,-4.364,0.632
-4.708,-4.275,0.539
-5.096,-4.388,0.539
-5.215,-4.433,0.671
-3.965,-4.366,0.693
-3.254,-4.231,0.755
-3.774,-4.189,0.693
-4.063,-4.406,0.693
-3.242,-4.434,0.648
-2.676,-4.167,0.624
-3.297,-4.201,0.656
-4.336,-4.452,0.678
-3.276,-4.271,0.721
-2.935,-4.258,0.742
-2.84,-4.27,0.686
-3.67,-4.424,0.671
-3.512,-4.241,0.742
-2.93,-4.219,0.748
-3.274,-4.33,0.831
-3.758,-4.469,0.678
-2.694,-4.44,0.866
-3.25,-4.43,0.837
-3.022,-4.339,0.831
-3.755,-4.409,0.671
-3.58,-3.827,0.663
-2.774,-4.159,0.671
-3.458,-4.653,0.854
-4.16,-4.486,0.922
-2.084,-4.343,0.933
-1.941,-4.119,0.866
-2.351,-4.117,0.781
-2.873,-4.127,0.693
-2.159,-3.93,0.686
-1.214,-4.04,0.678
-1.425,-4.044,0.678
-3.431,-4.004,0.7
-2.608,-4.446,0.7
-1.469,-4.014,0.714
-3.006,-4.09,1.114
-3.52,-4.546,1.1
-2.301,-4.533,1.1
-1.605,-4.255,0.707
-2.766,-4.323,0.755
-3.003,-4.437,0.707
-2.122,-4.467,0.806
-1.306,-4.22,0.794
-2.276,-4.019,0.794
-1.978,-4.463,0.894
-0.909,-4.042,0.917
-0.654,-3.934,0.894
-0.876,-4.424,0.877
-2.071,-4.652,0.728
-0.301,-4.074,0.877
-0.597,-4.076,0.883
-0.46,-4.04,0.911
-1.585,-4.387,0.927
-1.559,-4.145,0.927
-1.104,-4.078,0.959
-1.006,-4.032,0.938
-2.306,-4.08,0.889
-0.471,-3.908,0.837
-0.327,-4.282,0.843
-1.689,-4.347,0.9
-1.7,-4.49,0.933
-0.247,-4.037,0.917
-0.126,-3.876,0.894
-1.593,-4.53,0.894
-1.026,-4.284,0.959
-1.764,-3.196,0.938
-0.682,-4.314,0.949
