svc_cpu_use,svc_cpu_thr,svc_net_use,svc_disk_use,system_cpu_use,system_cpu_sat,system_net_use,system_net_sat,system_disk_sat,system_disk_io,svc_req_size,svc_resp_size,svc_pods,svc_req_rate,ltcy
0.31,0.11,0.10575753211975097,0.0013995075225830078,2.03,1.2611666666666668,3.206155138015747,0.0,0.98,0.01,0.0017043209075927733,0.011962556838989257,7.0,0.98,0.11
0.38,0.09,0.12343445777893067,0.0022438716888427733,2.13,1.268,3.5519312953948976,0.0,0.98,0.01,0.0027022361755371094,0.018684062957763672,7.0,1.62,0.16
0.37,0.1,0.130732421875,0.0015360069274902343,2.1,1.1791666666666667,3.5862748050689697,0.0,0.98,0.01,0.0034958934783935547,0.024153404235839844,7.0,2.18,0.22
0.39,0.09,0.13089677810668945,0.01162435531616211,2.04,1.3153333333333335,3.5121236419677735,0.0,0.98,0.01,0.0032889461517333985,0.022317066192626953,6.0,2.13,0.24
0.37,0.1,0.13973756790161132,0.017626619338989256,2.02,1.3846666666666667,3.4489974975585938,0.0,0.98,0.01,0.003387699127197266,0.022961273193359374,3.0,2.22,0.25
0.34,0.06,0.13523372650146484,0.012855844497680664,2.08,1.4263333333333332,3.26875864982605,0.0,0.98,0.01,0.002412557601928711,0.0008075046539306641,7.0,2.09,0.25
0.33,0.11,0.10484712600708007,0.0033013534545898436,2.1,1.343,3.3374978637695314,0.0,0.98,0.01,0.003215312957763672,0.021899662017822265,7.0,2.09,0.61
0.36,0.09,0.10608114242553711,0.0030827903747558593,2.11,1.2695,3.785423364639282,0.0,0.98,0.01,0.0030933952331542967,0.020993423461914063,7.0,2.0,0.25
0.36,0.09,0.18643535614013673,0.012615938186645508,2.03,1.2,3.7783706474304197,0.0,0.98,0.01,0.00312230110168457,0.021238489151000975,7.0,2.0,0.25
0.36,0.05,0.20346809387207032,0.010790567398071289,2.01,1.218,3.797204627990723,0.0,0.98,0.0,0.00334895133972168,0.022932977676391603,7.0,2.09,0.22
0.34,0.07,0.13712217330932616,0.003366861343383789,2.06,1.1875,3.3622540760040285,0.0,0.98,0.01,0.002729969024658203,0.0007800197601318359,7.0,1.96,0.24
0.34,0.08,0.1336039733886719,0.011508941650390625,2.04,1.1986666666666668,3.3964265155792237,0.0,0.98,0.01,0.0035006237030029298,0.02406139373779297,7.0,2.18,0.25
0.2,0.1,0.12979392051696778,0.015169563293457032,2.04,1.1208333333333333,3.3133412265777586,0.0,0.98,0.02,0.0033826255798339844,0.022936840057373047,7.0,2.22,0.25
0.37,0.1,0.14005528450012206,0.005398330688476563,2.0,1.1888333333333334,3.2809107875823975,0.0,0.98,0.01,0.0028928565979003907,0.002030820846557617,7.0,2.18,0.24
0.34,0.11,0.13190863609313966,0.0015892696380615235,1.99,1.0903333333333334,3.290422019958496,0.0,0.98,0.01,0.0031414794921875,0.021227617263793946,7.0,2.09,0.23
0.35,0.12,0.11147302627563477,0.008905420303344727,1.98,1.068,3.2841003227233885,0.0,0.98,0.01,0.0028902721405029298,0.019871559143066406,4.0,1.82,0.24
0.35,0.11,0.12193220138549804,0.013386220932006835,1.94,1.0138333333333334,3.1728733921051027,0.0,0.98,0.01,0.00289006233215332,0.019866867065429686,7.0,1.82,0.25
0.32,0.1,0.10345860481262208,0.005229597091674805,1.97,1.0583333333333333,3.1999773025512694,0.0,0.98,0.01,0.002915363311767578,0.020439395904541014,7.0,1.78,0.25
0.33,0.09,0.10548897743225098,0.002753467559814453,2.01,1.0278333333333334,3.2590163803100585,0.0,0.98,0.01,0.002778644561767578,0.01932978630065918,7.0,1.73,0.24
0.4,0.07,0.13903073310852052,0.012112932205200195,2.15,1.082,3.6836945819854736,0.0,0.98,0.01,0.0036447715759277345,0.024937505722045897,7.0,2.31,0.34
0.48,0.12,0.1858084774017334,0.013326692581176757,2.35,1.0695000000000001,4.211771287918091,0.0,0.98,0.01,0.004754171371459961,0.03223546028137207,7.0,3.07,0.33
0.53,0.18,0.2277834415435791,0.006377429962158203,2.47,1.0055,4.670719757080078,0.0,0.98,0.01,0.006593427658081055,0.0447396183013916,3.0,4.27,0.26
0.6,0.21,0.24773942947387695,0.0039923954010009765,2.55,0.9778333333333333,4.826618452072143,0.0,0.98,0.01,0.0061051082611083985,0.045404882431030275,5.0,4.44,0.24
0.63,0.2,0.20487004280090332,0.019094552993774414,2.45,0.9055,4.662071104049683,0.0,0.98,0.01,0.0029076480865478514,0.04651948928833008,7.0,4.4,0.23
0.57,0.19,0.2153829002380371,0.024330949783325194,2.44,0.8791666666666667,4.614954099655152,0.0,0.98,0.01,0.006417512893676758,0.044433813095092776,7.0,4.0,0.24
0.53,0.24,0.22403602600097655,0.013107261657714843,2.43,0.8971666666666667,4.488351612091065,0.0,0.98,0.01,0.005973148345947266,0.04124272346496582,7.0,3.69,0.3
0.53,0.17,0.19388189315795898,0.003312196731567383,2.46,0.9388333333333333,4.477771778106689,0.0,0.98,0.01,0.0058438777923583984,0.04107956886291504,7.0,3.56,0.31
0.51,0.14,0.2082481288909912,0.019870405197143556,2.49,0.9416666666666667,5.011745262145996,0.0,0.98,0.01,0.006011953353881836,0.040746755599975586,7.0,3.87,0.36
0.58,0.15,0.2772898292541504,0.02611905097961426,2.44,1.0471666666666666,5.0260561656951905,0.0,0.98,0.02,0.0060523319244384765,0.040766210556030275,7.0,4.0,0.35
0.55,0.16,0.2999227046966553,0.005675163269042969,2.41,1.1111666666666666,4.992667980194092,0.0,0.98,0.01,0.006015501022338867,0.040760316848754884,7.0,3.96,0.36
0.52,0.16,0.21812823295593262,0.0021834754943847656,2.38,1.1083333333333334,4.389629297256469,0.0,0.98,0.01,0.00563878059387207,0.03823630332946777,7.0,3.73,0.25
0.56,0.15,0.2070683479309082,0.02480937957763672,2.33,1.0903333333333334,4.307967166900635,0.0,0.98,0.01,0.005801563262939453,0.03933497428894043,7.0,3.87,0.23
0.5,0.18,0.21861930847167968,0.02554037094116211,2.36,1.043,4.430391292572022,0.0,0.98,0.01,0.005905914306640625,0.03948563575744629,7.0,3.96,0.24
0.5,0.2,0.20573027610778807,0.011123361587524415,2.35,1.1986666666666668,4.3468305778503415,0.0,0.98,0.01,0.0060332870483398434,0.040688152313232424,7.0,3.96,0.36
0.5,0.15,0.20960981369018555,0.002616443634033203,2.42,1.1195,4.4243068027496335,0.0,0.98,0.01,0.0058615684509277345,0.0397873592376709,7.0,3.82,0.42
0.54,0.18,0.21213302612304688,0.001715841293334961,2.35,1.0554999999999999,4.2397412586212155,0.0,0.98,0.01,0.005823612213134766,0.04020571708679199,5.0,3.69,0.49
0.53,0.22,0.20168951034545898,0.025293035507202147,2.39,1.1388333333333334,4.428561525344849,0.0,0.98,0.01,0.005890722274780273,0.04068531036376953,6.0,3.64,0.36
0.55,0.22,0.23291475296020508,0.025053663253784178,2.36,1.1721666666666666,4.443687543869019,0.0,0.98,0.01,0.0059236717224121094,0.04057492256164551,7.0,3.73,0.49
0.58,0.18,0.21711575508117675,0.00784637451171875,2.47,1.1179999999999999,4.738531112670898,0.0,0.98,0.01,0.006162223815917969,0.04177000045776367,7.0,4.09,0.4
0.58,0.15,0.2548806667327881,0.02062363624572754,2.55,1.0945,5.12758017539978,0.0,0.98,0.01,0.007155799865722656,0.04887088775634765,7.0,4.64,0.45
