"variable","time","val"
svc_resp_size,2020-02-17 08:36:51,12543.65
svc_resp_size,2020-02-17 08:37:06,19591.66
svc_resp_size,2020-02-17 08:37:21,25326.68
svc_resp_size,2020-02-17 08:37:36,23401.14
svc_resp_size,2020-02-17 08:37:51,24076.64
svc_resp_size,2020-02-17 08:38:06,846.73
svc_resp_size,2020-02-17 08:38:21,22963.46
svc_resp_size,2020-02-17 08:38:36,22013.20
svc_resp_size,2020-02-17 08:38:51,22270.17
svc_resp_size,2020-02-17 08:39:06,24046.97
svc_resp_size,2020-02-17 08:39:21,817.91
svc_resp_size,2020-02-17 08:39:36,25230.20
svc_resp_size,2020-02-17 08:39:51,24051.02
svc_resp_size,2020-02-17 08:40:06,2129.47
svc_resp_size,2020-02-17 08:40:21,22258.77
svc_resp_size,2020-02-17 08:40:36,20836.84
svc_resp_size,2020-02-17 08:40:51,20831.92
svc_resp_size,2020-02-17 08:41:06,21432.26
svc_resp_size,2020-02-17 08:41:21,20268.75
svc_resp_size,2020-02-17 08:41:36,26148.87
svc_resp_size,2020-02-17 08:41:51,33801.33
svc_resp_size,2020-02-17 08:42:06,46912.89
svc_resp_size,2020-02-17 08:42:21,47610.47
svc_resp_size,2020-02-17 08:42:36,48779.22
svc_resp_size,2020-02-17 08:42:51,46592.23
svc_resp_size,2020-02-17 08:43:06,43246.13
svc_resp_size,2020-02-17 08:43:21,43075.05
svc_resp_size,2020-02-17 08:43:36,42726.07
svc_resp_size,2020-02-17 08:43:51,42746.47
svc_resp_size,2020-02-17 08:44:06,42740.29
svc_resp_size,2020-02-17 08:44:21,40093.67
svc_resp_size,2020-02-17 08:44:36,41245.71
svc_resp_size,2020-02-17 08:44:51,41403.69
svc_resp_size,2020-02-17 08:45:06,42664.62
svc_resp_size,2020-02-17 08:45:21,41720.07
svc_resp_size,2020-02-17 08:45:36,42158.75
svc_resp_size,2020-02-17 08:45:51,42661.64
svc_resp_size,2020-02-17 08:46:06,42545.89
svc_resp_size,2020-02-17 08:46:21,43799.02
svc_resp_size,2020-02-17 08:46:36,51244.84
svc_resp_size,2020-02-17 08:46:51,59687.17
svc_resp_size,2020-02-17 08:47:06,70759.65
svc_resp_size,2020-02-17 08:47:21,65998.85
svc_resp_size,2020-02-17 08:47:36,6627.23
svc_resp_size,2020-02-17 08:47:51,67033.49
svc_resp_size,2020-02-17 08:48:06,67769.02
svc_resp_size,2020-02-17 08:48:21,70248.65
svc_resp_size,2020-02-17 08:48:36,69874.80
svc_resp_size,2020-02-17 08:48:51,71613.00
svc_resp_size,2020-02-17 08:49:06,70067.74
svc_resp_size,2020-02-17 08:49:21,71874.34
svc_resp_size,2020-02-17 08:49:36,6744.63
svc_resp_size,2020-02-17 08:49:51,69261.56
svc_resp_size,2020-02-17 08:50:06,68972.90
svc_resp_size,2020-02-17 08:50:21,68739.47
svc_resp_size,2020-02-17 08:50:36,69208.52
svc_resp_size,2020-02-17 08:50:51,65548.00
svc_resp_size,2020-02-17 08:51:06,64127.43
svc_resp_size,2020-02-17 08:51:21,64773.20
svc_resp_size,2020-02-17 08:51:36,73212.80
svc_resp_size,2020-02-17 08:51:51,79910.82
svc_resp_size,2020-02-17 08:52:06,83281.99
svc_resp_size,2020-02-17 08:52:21,84065.03
svc_resp_size,2020-02-17 08:52:36,81617.04
svc_resp_size,2020-02-17 08:52:51,84921.05
svc_resp_size,2020-02-17 08:53:06,82421.39
svc_resp_size,2020-02-17 08:53:21,7711.63
svc_resp_size,2020-02-17 08:53:36,87890.86
svc_resp_size,2020-02-17 08:53:51,96888.25
svc_resp_size,2020-02-17 08:54:06,94586.42
svc_resp_size,2020-02-17 08:54:21,91362.33
svc_resp_size,2020-02-17 08:54:36,87718.69
svc_resp_size,2020-02-17 08:54:51,90487.16
svc_resp_size,2020-02-17 08:55:06,85353.93
svc_resp_size,2020-02-17 08:55:21,82838.93
svc_resp_size,2020-02-17 08:55:36,84382.79
svc_resp_size,2020-02-17 08:55:51,85404.34
svc_resp_size,2020-02-17 08:56:06,88074.91
svc_resp_size,2020-02-17 08:56:21,88324.75
svc_resp_size,2020-02-17 08:56:36,95257.30
svc_resp_size,2020-02-17 08:56:51,105112.58
svc_resp_size,2020-02-17 08:57:06,114271.04
svc_resp_size,2020-02-17 08:57:21,114180.42
svc_resp_size,2020-02-17 08:57:36,8045.86
svc_resp_size,2020-02-17 08:57:51,110971.71
svc_resp_size,2020-02-17 08:58:06,107811.12
svc_resp_size,2020-02-17 08:58:21,104634.02
svc_resp_size,2020-02-17 08:58:36,104808.55
svc_resp_size,2020-02-17 08:58:51,104863.77
svc_resp_size,2020-02-17 08:59:06,107784.10
svc_resp_size,2020-02-17 08:59:21,104334.17
svc_resp_size,2020-02-17 08:59:36,104891.95
svc_resp_size,2020-02-17 08:59:51,104037.90
svc_resp_size,2020-02-17 09:00:06,107594.23
svc_resp_size,2020-02-17 09:00:21,98279.29
svc_resp_size,2020-02-17 09:00:36,103515.57
svc_resp_size,2020-02-17 09:00:51,104257.73
svc_resp_size,2020-02-17 09:01:06,109814.00
svc_resp_size,2020-02-17 09:01:21,113887.97
svc_resp_size,2020-02-17 09:01:36,116931.36
svc_resp_size,2020-02-17 09:01:51,119467.00
svc_resp_size,2020-02-17 09:02:06,112012.53
svc_resp_size,2020-02-17 09:02:21,10476.75
svc_resp_size,2020-02-17 09:02:36,123268.80
svc_resp_size,2020-02-17 09:02:51,121987.38
svc_resp_size,2020-02-17 09:03:06,130574.14
svc_resp_size,2020-02-17 09:03:21,128584.29
svc_resp_size,2020-02-17 09:03:36,135535.37
svc_resp_size,2020-02-17 09:03:51,132550.02
svc_resp_size,2020-02-17 09:04:06,130601.98
svc_resp_size,2020-02-17 09:04:21,129922.47
svc_resp_size,2020-02-17 09:04:36,132475.06
svc_resp_size,2020-02-17 09:04:51,129691.89
svc_resp_size,2020-02-17 09:05:06,117284.99
svc_resp_size,2020-02-17 09:05:21,117541.40
svc_resp_size,2020-02-17 09:05:36,119587.48
svc_resp_size,2020-02-17 09:05:51,120852.85
svc_resp_size,2020-02-17 09:06:06,120240.04
svc_resp_size,2020-02-17 09:06:21,118434.36
svc_resp_size,2020-02-17 09:06:36,119566.31
svc_resp_size,2020-02-17 09:06:51,130499.76
svc_resp_size,2020-02-17 09:07:06,140592.39
svc_resp_size,2020-02-17 09:07:21,146370.69
svc_resp_size,2020-02-17 09:07:36,140800.24
svc_resp_size,2020-02-17 09:07:51,143622.41
svc_resp_size,2020-02-17 09:08:06,143843.12
svc_resp_size,2020-02-17 09:08:21,142970.42
svc_resp_size,2020-02-17 09:08:36,142654.20
svc_resp_size,2020-02-17 09:08:51,144315.96
svc_resp_size,2020-02-17 09:09:06,142593.65
svc_resp_size,2020-02-17 09:09:21,138248.52
svc_resp_size,2020-02-17 09:09:36,138587.37
svc_resp_size,2020-02-17 09:09:51,136167.82
svc_resp_size,2020-02-17 09:10:06,139803.19
svc_resp_size,2020-02-17 09:10:21,141852.65
svc_resp_size,2020-02-17 09:10:36,155569.29
svc_resp_size,2020-02-17 09:10:51,140864.86
svc_resp_size,2020-02-17 09:11:06,14545.94
svc_resp_size,2020-02-17 09:11:21,144729.99
svc_resp_size,2020-02-17 09:11:36,150595.06
svc_resp_size,2020-02-17 09:11:51,154218.49
svc_resp_size,2020-02-17 09:12:06,5940.22
svc_resp_size,2020-02-17 09:12:21,15352.62
svc_resp_size,2020-02-17 09:12:51,159844.27
svc_resp_size,2020-02-17 09:13:21,161177.74
svc_resp_size,2020-02-17 09:13:36,169785.49
svc_resp_size,2020-02-17 09:13:51,16163.69
svc_resp_size,2020-02-17 09:14:06,168059.27
svc_resp_size,2020-02-17 09:14:36,167369.22
svc_resp_size,2020-02-17 09:15:06,161988.74
svc_resp_size,2020-02-17 09:15:36,152395.80
svc_resp_size,2020-02-17 09:15:51,156993.36
svc_resp_size,2020-02-17 09:16:21,155126.85
svc_resp_size,2020-02-17 09:16:51,167845.07
svc_resp_size,2020-02-17 09:17:21,172032.38
svc_resp_size,2020-02-17 09:17:36,167678.91
svc_resp_size,2020-02-17 09:18:06,175718.26
svc_resp_size,2020-02-17 09:19:06,167259.53
svc_resp_size,2020-02-17 09:19:21,156644.21
svc_resp_size,2020-02-17 09:19:36,161963.50
svc_resp_size,2020-02-17 09:20:06,165223.34
svc_resp_size,2020-02-17 09:20:21,166350.51
svc_resp_size,2020-02-17 09:20:51,170996.38
svc_resp_size,2020-02-17 09:21:21,182780.15
svc_resp_size,2020-02-17 09:21:36,182477.66
svc_resp_size,2020-02-17 09:22:06,15533.34
svc_resp_size,2020-02-17 09:22:21,192108.52
svc_resp_size,2020-02-17 09:22:51,173599.97
