"variable","time","val"
svc_cpu_sat,2020-02-17 08:36:06,0.03
svc_cpu_sat,2020-02-17 08:36:21,0.01
svc_cpu_sat,2020-02-17 08:36:36,0.05
svc_cpu_sat,2020-02-17 08:36:51,0.11
svc_cpu_sat,2020-02-17 08:37:06,0.09
svc_cpu_sat,2020-02-17 08:37:21,0.10
svc_cpu_sat,2020-02-17 08:37:36,0.09
svc_cpu_sat,2020-02-17 08:37:51,0.10
svc_cpu_sat,2020-02-17 08:38:06,0.06
svc_cpu_sat,2020-02-17 08:38:21,0.11
svc_cpu_sat,2020-02-17 08:38:36,0.09
svc_cpu_sat,2020-02-17 08:38:51,0.09
svc_cpu_sat,2020-02-17 08:39:06,0.05
svc_cpu_sat,2020-02-17 08:39:21,0.07
svc_cpu_sat,2020-02-17 08:39:36,0.08
svc_cpu_sat,2020-02-17 08:39:51,0.10
svc_cpu_sat,2020-02-17 08:40:06,0.10
svc_cpu_sat,2020-02-17 08:40:21,0.11
svc_cpu_sat,2020-02-17 08:40:36,0.12
svc_cpu_sat,2020-02-17 08:40:51,0.11
svc_cpu_sat,2020-02-17 08:41:06,0.10
svc_cpu_sat,2020-02-17 08:41:21,0.09
svc_cpu_sat,2020-02-17 08:41:36,0.07
svc_cpu_sat,2020-02-17 08:41:51,0.12
svc_cpu_sat,2020-02-17 08:42:06,0.18
svc_cpu_sat,2020-02-17 08:42:21,0.21
svc_cpu_sat,2020-02-17 08:42:36,0.20
svc_cpu_sat,2020-02-17 08:42:51,0.19
svc_cpu_sat,2020-02-17 08:43:06,0.24
svc_cpu_sat,2020-02-17 08:43:21,0.17
svc_cpu_sat,2020-02-17 08:43:36,0.14
svc_cpu_sat,2020-02-17 08:43:51,0.15
svc_cpu_sat,2020-02-17 08:44:06,0.16
svc_cpu_sat,2020-02-17 08:44:21,0.16
svc_cpu_sat,2020-02-17 08:44:36,0.15
svc_cpu_sat,2020-02-17 08:44:51,0.18
svc_cpu_sat,2020-02-17 08:45:06,0.20
svc_cpu_sat,2020-02-17 08:45:21,0.15
svc_cpu_sat,2020-02-17 08:45:36,0.18
svc_cpu_sat,2020-02-17 08:45:51,0.22
svc_cpu_sat,2020-02-17 08:46:06,0.22
svc_cpu_sat,2020-02-17 08:46:21,0.18
svc_cpu_sat,2020-02-17 08:46:36,0.15
svc_cpu_sat,2020-02-17 08:46:51,0.21
svc_cpu_sat,2020-02-17 08:47:06,0.31
svc_cpu_sat,2020-02-17 08:47:21,0.27
svc_cpu_sat,2020-02-17 08:47:36,0.34
svc_cpu_sat,2020-02-17 08:47:51,0.30
svc_cpu_sat,2020-02-17 08:48:06,0.23
svc_cpu_sat,2020-02-17 08:48:21,0.38
svc_cpu_sat,2020-02-17 08:48:36,0.36
svc_cpu_sat,2020-02-17 08:48:51,0.30
svc_cpu_sat,2020-02-17 08:49:06,0.28
svc_cpu_sat,2020-02-17 08:49:21,0.31
svc_cpu_sat,2020-02-17 08:49:36,0.32
svc_cpu_sat,2020-02-17 08:49:51,0.26
svc_cpu_sat,2020-02-17 08:50:06,0.30
svc_cpu_sat,2020-02-17 08:50:21,0.30
svc_cpu_sat,2020-02-17 08:50:36,0.30
svc_cpu_sat,2020-02-17 08:50:51,0.30
svc_cpu_sat,2020-02-17 08:51:06,0.33
svc_cpu_sat,2020-02-17 08:51:21,0.27
svc_cpu_sat,2020-02-17 08:51:36,0.30
svc_cpu_sat,2020-02-17 08:51:51,0.32
svc_cpu_sat,2020-02-17 08:52:06,0.40
svc_cpu_sat,2020-02-17 08:52:21,0.34
svc_cpu_sat,2020-02-17 08:52:36,0.43
svc_cpu_sat,2020-02-17 08:52:51,0.32
svc_cpu_sat,2020-02-17 08:53:06,0.24
svc_cpu_sat,2020-02-17 08:53:21,0.36
svc_cpu_sat,2020-02-17 08:53:36,0.46
svc_cpu_sat,2020-02-17 08:53:51,0.49
svc_cpu_sat,2020-02-17 08:54:06,0.47
svc_cpu_sat,2020-02-17 08:54:21,0.28
svc_cpu_sat,2020-02-17 08:54:36,0.36
svc_cpu_sat,2020-02-17 08:54:51,0.43
svc_cpu_sat,2020-02-17 08:55:06,0.38
svc_cpu_sat,2020-02-17 08:55:21,0.22
svc_cpu_sat,2020-02-17 08:55:36,0.29
svc_cpu_sat,2020-02-17 08:55:51,0.29
svc_cpu_sat,2020-02-17 08:56:06,0.33
svc_cpu_sat,2020-02-17 08:56:21,0.35
svc_cpu_sat,2020-02-17 08:56:36,0.46
svc_cpu_sat,2020-02-17 08:56:51,0.48
svc_cpu_sat,2020-02-17 08:57:06,0.43
svc_cpu_sat,2020-02-17 08:57:21,0.46
svc_cpu_sat,2020-02-17 08:57:36,0.53
svc_cpu_sat,2020-02-17 08:57:51,0.51
svc_cpu_sat,2020-02-17 08:58:06,0.44
svc_cpu_sat,2020-02-17 08:58:21,0.48
svc_cpu_sat,2020-02-17 08:58:36,0.48
svc_cpu_sat,2020-02-17 08:58:51,0.41
svc_cpu_sat,2020-02-17 08:59:06,0.52
svc_cpu_sat,2020-02-17 08:59:21,0.55
svc_cpu_sat,2020-02-17 08:59:36,0.44
svc_cpu_sat,2020-02-17 08:59:51,0.48
svc_cpu_sat,2020-02-17 09:00:06,0.53
svc_cpu_sat,2020-02-17 09:00:21,0.57
svc_cpu_sat,2020-02-17 09:00:36,0.56
svc_cpu_sat,2020-02-17 09:00:51,0.41
svc_cpu_sat,2020-02-17 09:01:06,0.57
svc_cpu_sat,2020-02-17 09:01:21,0.56
svc_cpu_sat,2020-02-17 09:01:36,0.25
svc_cpu_sat,2020-02-17 09:01:51,0.44
svc_cpu_sat,2020-02-17 09:02:06,0.45
svc_cpu_sat,2020-02-17 09:02:21,0.48
svc_cpu_sat,2020-02-17 09:02:36,0.48
svc_cpu_sat,2020-02-17 09:02:51,0.62
svc_cpu_sat,2020-02-17 09:03:06,0.61
svc_cpu_sat,2020-02-17 09:03:21,0.58
svc_cpu_sat,2020-02-17 09:03:36,0.58
svc_cpu_sat,2020-02-17 09:03:51,0.73
svc_cpu_sat,2020-02-17 09:04:06,0.68
svc_cpu_sat,2020-02-17 09:04:21,0.45
svc_cpu_sat,2020-02-17 09:04:36,0.68
svc_cpu_sat,2020-02-17 09:04:51,0.61
svc_cpu_sat,2020-02-17 09:05:06,0.46
svc_cpu_sat,2020-02-17 09:05:21,0.62
svc_cpu_sat,2020-02-17 09:05:36,0.76
svc_cpu_sat,2020-02-17 09:05:51,0.76
svc_cpu_sat,2020-02-17 09:06:06,0.67
svc_cpu_sat,2020-02-17 09:06:21,0.74
svc_cpu_sat,2020-02-17 09:06:36,0.76
svc_cpu_sat,2020-02-17 09:06:51,0.79
svc_cpu_sat,2020-02-17 09:07:06,0.57
svc_cpu_sat,2020-02-17 09:07:21,0.78
svc_cpu_sat,2020-02-17 09:07:36,0.81
svc_cpu_sat,2020-02-17 09:07:51,0.70
svc_cpu_sat,2020-02-17 09:08:06,0.91
