"variable","time","val"
svc_net_use,2020-02-17 08:36:06,21484.14
svc_net_use,2020-02-17 08:36:21,21258.38
svc_net_use,2020-02-17 08:36:36,57350.37
svc_net_use,2020-02-17 08:36:51,110894.81
svc_net_use,2020-02-17 08:37:06,129430.41
svc_net_use,2020-02-17 08:37:21,137082.88
svc_net_use,2020-02-17 08:37:36,137255.22
svc_net_use,2020-02-17 08:37:51,146525.46
svc_net_use,2020-02-17 08:38:06,141802.84
svc_net_use,2020-02-17 08:38:21,109940.18
svc_net_use,2020-02-17 08:38:36,111234.14
svc_net_use,2020-02-17 08:38:51,195491.64
svc_net_use,2020-02-17 08:39:06,213351.76
svc_net_use,2020-02-17 08:39:21,143783.02
svc_net_use,2020-02-17 08:39:36,140093.92
svc_net_use,2020-02-17 08:39:51,136098.79
svc_net_use,2020-02-17 08:40:06,146858.61
svc_net_use,2020-02-17 08:40:21,138316.23
svc_net_use,2020-02-17 08:40:36,116887.94
svc_net_use,2020-02-17 08:40:51,127855.18
svc_net_use,2020-02-17 08:41:06,108484.21
svc_net_use,2020-02-17 08:41:21,110613.21
svc_net_use,2020-02-17 08:41:36,145784.29
svc_net_use,2020-02-17 08:41:51,194834.31
svc_net_use,2020-02-17 08:42:06,238848.25
svc_net_use,2020-02-17 08:42:21,259773.62
svc_net_use,2020-02-17 08:42:36,214821.81
svc_net_use,2020-02-17 08:42:51,225845.34
svc_net_use,2020-02-17 08:43:06,234918.80
svc_net_use,2020-02-17 08:43:21,203299.90
svc_net_use,2020-02-17 08:43:36,218363.99
svc_net_use,2020-02-17 08:43:51,290759.46
svc_net_use,2020-02-17 08:44:06,314491.75
svc_net_use,2020-02-17 08:44:21,228724.03
svc_net_use,2020-02-17 08:44:36,217126.90
svc_net_use,2020-02-17 08:44:51,229238.96
svc_net_use,2020-02-17 08:45:06,215723.83
svc_net_use,2020-02-17 08:45:21,219791.82
svc_net_use,2020-02-17 08:45:36,222437.60
svc_net_use,2020-02-17 08:45:51,211486.78
svc_net_use,2020-02-17 08:46:06,244228.82
svc_net_use,2020-02-17 08:46:21,227662.37
svc_net_use,2020-02-17 08:46:36,267261.75
svc_net_use,2020-02-17 08:46:51,314106.42
svc_net_use,2020-02-17 08:47:06,356447.92
svc_net_use,2020-02-17 08:47:21,351825.31
svc_net_use,2020-02-17 08:47:36,309238.05
svc_net_use,2020-02-17 08:47:51,328128.54
svc_net_use,2020-02-17 08:48:06,353454.43
svc_net_use,2020-02-17 08:48:21,366465.73
svc_net_use,2020-02-17 08:48:36,357384.86
svc_net_use,2020-02-17 08:48:51,387210.80
svc_net_use,2020-02-17 08:49:06,437059.08
svc_net_use,2020-02-17 08:49:21,396237.81
svc_net_use,2020-02-17 08:49:36,353150.15
svc_net_use,2020-02-17 08:49:51,313107.33
svc_net_use,2020-02-17 08:50:06,294608.38
svc_net_use,2020-02-17 08:50:21,322259.33
svc_net_use,2020-02-17 08:50:36,307821.18
svc_net_use,2020-02-17 08:50:51,296352.84
svc_net_use,2020-02-17 08:51:06,316727.43
svc_net_use,2020-02-17 08:51:21,317779.86
svc_net_use,2020-02-17 08:51:36,293813.42
svc_net_use,2020-02-17 08:51:51,372549.37
svc_net_use,2020-02-17 08:52:06,396316.80
svc_net_use,2020-02-17 08:52:21,404928.10
svc_net_use,2020-02-17 08:52:36,436090.70
svc_net_use,2020-02-17 08:52:51,451846.27
svc_net_use,2020-02-17 08:53:06,416589.61
svc_net_use,2020-02-17 08:53:21,439834.59
svc_net_use,2020-02-17 08:53:36,468343.01
svc_net_use,2020-02-17 08:53:51,431735.59
svc_net_use,2020-02-17 08:54:06,486333.06
svc_net_use,2020-02-17 08:54:21,480336.19
svc_net_use,2020-02-17 08:54:36,369661.36
svc_net_use,2020-02-17 08:54:51,464455.19
svc_net_use,2020-02-17 08:55:06,454905.37
svc_net_use,2020-02-17 08:55:21,339269.64
svc_net_use,2020-02-17 08:55:36,383233.75
svc_net_use,2020-02-17 08:55:51,415632.62
svc_net_use,2020-02-17 08:56:06,362643.27
svc_net_use,2020-02-17 08:56:21,430055.26
svc_net_use,2020-02-17 08:56:36,445705.96
svc_net_use,2020-02-17 08:56:51,499385.59
svc_net_use,2020-02-17 08:57:06,506575.18
svc_net_use,2020-02-17 08:57:21,543611.27
svc_net_use,2020-02-17 08:57:36,505257.10
svc_net_use,2020-02-17 08:57:51,526019.13
svc_net_use,2020-02-17 08:58:06,527580.06
svc_net_use,2020-02-17 08:58:21,415087.06
