"variable","time","val"
system_net_use,2020-02-17 08:36:06,1984812.53
system_net_use,2020-02-17 08:36:21,2230301.63
system_net_use,2020-02-17 08:36:36,2835221.78
system_net_use,2020-02-17 08:36:51,3361897.33
system_net_use,2020-02-17 08:37:06,3724469.91
system_net_use,2020-02-17 08:37:21,3760481.69
system_net_use,2020-02-17 08:37:36,3682728.56
system_net_use,2020-02-17 08:37:51,3616536.00
system_net_use,2020-02-17 08:38:06,3427541.87
system_net_use,2020-02-17 08:38:21,3499620.16
system_net_use,2020-02-17 08:38:36,3969304.09
system_net_use,2020-02-17 08:38:51,3961908.78
system_net_use,2020-02-17 08:39:06,3981657.64
system_net_use,2020-02-17 08:39:21,3525578.93
system_net_use,2020-02-17 08:39:36,3561411.33
system_net_use,2020-02-17 08:39:51,3474290.09
system_net_use,2020-02-17 08:40:06,3440284.31
system_net_use,2020-02-17 08:40:21,3450257.56
system_net_use,2020-02-17 08:40:36,3443628.78
system_net_use,2020-02-17 08:40:51,3326998.89
system_net_use,2020-02-17 08:41:06,3355419.40
system_net_use,2020-02-17 08:41:21,3417326.36
system_net_use,2020-02-17 08:41:36,3862633.73
system_net_use,2020-02-17 08:41:51,4416362.29
system_net_use,2020-02-17 08:42:06,4897604.64
system_net_use,2020-02-17 08:42:21,5061076.27
system_net_use,2020-02-17 08:42:36,4888535.87
system_net_use,2020-02-17 08:42:51,4839130.11
system_net_use,2020-02-17 08:43:06,4706377.78
system_net_use,2020-02-17 08:43:21,4695284.02
system_net_use,2020-02-17 08:43:36,5255195.80
system_net_use,2020-02-17 08:43:51,5270201.87
system_net_use,2020-02-17 08:44:06,5235191.82
system_net_use,2020-02-17 08:44:21,4602859.93
system_net_use,2020-02-17 08:44:36,4517230.98
system_net_use,2020-02-17 08:44:51,4645601.98
system_net_use,2020-02-17 08:45:06,4557982.22
system_net_use,2020-02-17 08:45:21,4639221.93
system_net_use,2020-02-17 08:45:36,4445690.93
system_net_use,2020-02-17 08:45:51,4643683.33
system_net_use,2020-02-17 08:46:06,4659544.11
system_net_use,2020-02-17 08:46:21,4968710.00
system_net_use,2020-02-17 08:46:36,5376657.51
system_net_use,2020-02-17 08:46:51,5907448.60
system_net_use,2020-02-17 08:47:06,6332547.07
system_net_use,2020-02-17 08:47:21,6264946.96
system_net_use,2020-02-17 08:47:36,6097913.76
system_net_use,2020-02-17 08:47:51,6000440.09
system_net_use,2020-02-17 08:48:06,6097720.38
system_net_use,2020-02-17 08:48:21,6368873.16
system_net_use,2020-02-17 08:48:36,6909474.47
system_net_use,2020-02-17 08:48:51,6897554.78
system_net_use,2020-02-17 08:49:06,6932564.71
system_net_use,2020-02-17 08:49:21,6497260.04
system_net_use,2020-02-17 08:49:36,6388503.02
system_net_use,2020-02-17 08:49:51,6218228.42
system_net_use,2020-02-17 08:50:06,6166399.24
system_net_use,2020-02-17 08:50:21,6121420.22
system_net_use,2020-02-17 08:50:36,6136745.51
system_net_use,2020-02-17 08:50:51,5978560.44
system_net_use,2020-02-17 08:51:06,6076463.47
system_net_use,2020-02-17 08:51:21,6099033.64
system_net_use,2020-02-17 08:51:36,6570012.62
system_net_use,2020-02-17 08:51:51,6713941.40
system_net_use,2020-02-17 08:52:06,6940851.96
system_net_use,2020-02-17 08:52:21,6983117.53
system_net_use,2020-02-17 08:52:36,7155537.60
system_net_use,2020-02-17 08:52:51,7200942.31
system_net_use,2020-02-17 08:53:06,7164688.18
system_net_use,2020-02-17 08:53:21,7395406.13
system_net_use,2020-02-17 08:53:36,8108332.16
system_net_use,2020-02-17 08:53:51,8038320.73
system_net_use,2020-02-17 08:54:06,7987587.33
system_net_use,2020-02-17 08:54:21,7460450.98
system_net_use,2020-02-17 08:54:36,7481909.96
system_net_use,2020-02-17 08:54:51,7457385.93
system_net_use,2020-02-17 08:55:06,7236229.33
system_net_use,2020-02-17 08:55:21,7134996.20
system_net_use,2020-02-17 08:55:36,7071703.84
system_net_use,2020-02-17 08:55:51,7201258.56
system_net_use,2020-02-17 08:56:06,7366143.13
system_net_use,2020-02-17 08:56:21,7564533.24
system_net_use,2020-02-17 08:56:36,8099868.73
system_net_use,2020-02-17 08:56:51,8454700.51
system_net_use,2020-02-17 08:57:06,8846965.60
system_net_use,2020-02-17 08:57:21,8779108.91
system_net_use,2020-02-17 08:57:36,8631165.42
system_net_use,2020-02-17 08:57:51,8433303.42
system_net_use,2020-02-17 08:58:06,8294625.33
system_net_use,2020-02-17 08:58:21,8366426.62
system_net_use,2020-02-17 08:58:36,8638147.11
system_net_use,2020-02-17 08:58:51,8603175.58
system_net_use,2020-02-17 08:59:06,8785403.49
system_net_use,2020-02-17 08:59:21,8310778.33
system_net_use,2020-02-17 08:59:36,8395328.02
system_net_use,2020-02-17 08:59:51,8252434.51
system_net_use,2020-02-17 09:00:06,8479036.73
system_net_use,2020-02-17 09:00:21,8273066.18
system_net_use,2020-02-17 09:00:36,8242635.51
system_net_use,2020-02-17 09:00:51,8336925.38
system_net_use,2020-02-17 09:01:06,8672602.56
system_net_use,2020-02-17 09:01:21,8863011.87
system_net_use,2020-02-17 09:01:36,8956127.09
system_net_use,2020-02-17 09:01:51,9156639.69
system_net_use,2020-02-17 09:02:06,9294261.44
system_net_use,2020-02-17 09:02:21,9364089.27
system_net_use,2020-02-17 09:02:36,9531422.56
system_net_use,2020-02-17 09:02:51,9400197.16
system_net_use,2020-02-17 09:03:06,9741300.69
system_net_use,2020-02-17 09:03:21,9750338.87
system_net_use,2020-02-17 09:03:36,10276197.07
system_net_use,2020-02-17 09:03:51,9935594.24
system_net_use,2020-02-17 09:04:06,9777794.36
system_net_use,2020-02-17 09:04:21,9497726.22
system_net_use,2020-02-17 09:04:36,9491457.60
system_net_use,2020-02-17 09:04:51,9185223.33
system_net_use,2020-02-17 09:05:06,8949647.67
system_net_use,2020-02-17 09:05:21,8979981.60
system_net_use,2020-02-17 09:05:36,9132298.36
system_net_use,2020-02-17 09:05:51,9224919.42
system_net_use,2020-02-17 09:06:06,9250532.09
system_net_use,2020-02-17 09:06:21,9082952.93
system_net_use,2020-02-17 09:06:36,9380299.31
system_net_use,2020-02-17 09:06:51,9684894.07
system_net_use,2020-02-17 09:07:06,10346412.89
system_net_use,2020-02-17 09:07:21,10296502.84
system_net_use,2020-02-17 09:07:36,10441874.42
system_net_use,2020-02-17 09:07:51,10257072.38
system_net_use,2020-02-17 09:08:06,10373189.67
system_net_use,2020-02-17 09:08:21,10026464.31
system_net_use,2020-02-17 09:08:36,10663488.16
system_net_use,2020-02-17 09:08:51,10690495.60
system_net_use,2020-02-17 09:09:06,10961592.71
system_net_use,2020-02-17 09:09:21,10122284.64
system_net_use,2020-02-17 09:09:36,10052940.69
system_net_use,2020-02-17 09:09:51,9785991.91
system_net_use,2020-02-17 09:10:06,10187925.47
system_net_use,2020-02-17 09:10:21,10568037.42
system_net_use,2020-02-17 09:10:36,11000129.47
system_net_use,2020-02-17 09:10:51,10841916.67
system_net_use,2020-02-17 09:11:06,10619670.36
system_net_use,2020-02-17 09:11:21,10463190.38
system_net_use,2020-02-17 09:11:36,10803784.13
system_net_use,2020-02-17 09:11:51,10918134.24
system_net_use,2020-02-17 09:12:06,11169781.87
system_net_use,2020-02-17 09:12:21,11310114.56
system_net_use,2020-02-17 09:12:51,11255298.16
system_net_use,2020-02-17 09:13:21,11369716.07
