name,ztime,node,value
node_load1,2020-02-27 23:59:57,192.168.228.12,20.04
node_load1,2020-02-27 23:59:42,192.168.228.12,19.52
node_load1,2020-02-27 23:59:27,192.168.228.12,20.33
node_load1,2020-02-27 23:59:12,192.168.228.12,19.62
node_load1,2020-02-27 23:58:57,192.168.228.12,20.02
node_load1,2020-02-27 23:58:42,192.168.228.12,19.19
node_load1,2020-02-27 23:58:27,192.168.228.12,18.08
node_load1,2020-02-27 23:58:12,192.168.228.12,19.08
node_load1,2020-02-27 23:57:42,192.168.228.12,17.37
node_load1,2020-02-27 23:57:27,192.168.228.12,16.84
node_load1,2020-02-27 23:57:12,192.168.228.12,18.01
node_load1,2020-02-27 23:56:57,192.168.228.12,18.59
node_load1,2020-02-27 23:56:42,192.168.228.12,16.53
node_load1,2020-02-27 23:56:27,192.168.228.12,17.75
node_load1,2020-02-27 23:56:12,192.168.228.12,16.49
node_load1,2020-02-27 23:55:57,192.168.228.12,15.45
node_load1,2020-02-27 23:55:42,192.168.228.12,15.95
node_load1,2020-02-27 23:55:27,192.168.228.12,15.11
node_load1,2020-02-27 23:55:12,192.168.228.12,16.36
node_load1,2020-02-27 23:54:57,192.168.228.12,19.01
node_load1,2020-02-27 23:54:42,192.168.228.12,17.69
node_load1,2020-02-27 23:54:27,192.168.228.12,18.88
node_load1,2020-02-27 23:54:12,192.168.228.12,16.29
node_load1,2020-02-27 23:53:57,192.168.228.12,16.09
node_load1,2020-02-27 23:53:42,192.168.228.12,18.21
node_load1,2020-02-27 23:53:27,192.168.228.12,17.47
node_load1,2020-02-27 23:53:12,192.168.228.12,15.23
node_load1,2020-02-27 23:52:57,192.168.228.12,15.14
node_load1,2020-02-27 23:52:42,192.168.228.12,15.68
node_load1,2020-02-27 23:52:27,192.168.228.12,15.02
node_load1,2020-02-27 23:52:12,192.168.228.12,13.64
node_load1,2020-02-27 23:51:57,192.168.228.12,14.27
node_load1,2020-02-27 23:51:42,192.168.228.12,14.12
node_load1,2020-02-27 23:51:27,192.168.228.12,14.37
node_load1,2020-02-27 23:51:12,192.168.228.12,12.15
node_load1,2020-02-27 23:50:57,192.168.228.12,12.58
node_load1,2020-02-27 23:50:42,192.168.228.12,12.37
node_load1,2020-02-27 23:50:27,192.168.228.12,12.5
node_load1,2020-02-27 23:50:12,192.168.228.12,12.7
node_load1,2020-02-27 23:49:57,192.168.228.12,13.78
node_load1,2020-02-27 23:49:42,192.168.228.12,14.52
node_load1,2020-02-27 23:48:57,192.168.228.12,15.65
node_load1,2020-02-27 23:48:42,192.168.228.12,16.37
node_load1,2020-02-27 23:48:27,192.168.228.12,15.91
node_load1,2020-02-27 23:47:57,192.168.228.12,16.25
node_load1,2020-02-27 23:47:42,192.168.228.12,16.23
node_load1,2020-02-27 23:47:27,192.168.228.12,15.46
node_load1,2020-02-27 23:47:12,192.168.228.12,12.54
node_load1,2020-02-27 23:46:57,192.168.228.12,11.55
node_load1,2020-02-27 23:46:42,192.168.228.12,7.71
node_load1,2020-02-27 23:46:12,192.168.228.12,7.13
node_load1,2020-02-27 23:45:57,192.168.228.12,5.81
node_load1,2020-02-27 23:45:27,192.168.228.12,5.36
node_load1,2020-02-27 23:45:12,192.168.228.12,6.88
node_load1,2020-02-27 23:44:57,192.168.228.12,6.76
node_load1,2020-02-27 23:44:42,192.168.228.12,6.64
node_load1,2020-02-27 23:44:27,192.168.228.12,7.49
node_load1,2020-02-27 23:43:57,192.168.228.12,8.52
node_load1,2020-02-27 23:43:42,192.168.228.12,10.41
node_load1,2020-02-27 23:43:27,192.168.228.12,10.15
node_load1,2020-02-27 23:43:12,192.168.228.12,8.51
node_load1,2020-02-27 23:42:57,192.168.228.12,8.69
node_load1,2020-02-27 23:42:42,192.168.228.12,7.8
node_load1,2020-02-27 23:42:27,192.168.228.12,9.11
node_load1,2020-02-27 23:40:42,192.168.228.12,20.56
