name,ztime,service,value
service_req_total,2020-02-27 23:33:08,checkoutservice,NaN
service_req_total,2020-02-27 23:32:38,checkoutservice,466
service_req_total,2020-02-27 23:32:23,checkoutservice,466
service_req_total,2020-02-27 23:32:08,checkoutservice,466
service_req_total,2020-02-27 23:31:08,checkoutservice,466
service_req_total,2020-02-27 23:30:53,checkoutservice,466
service_req_total,2020-02-27 23:30:38,checkoutservice,466
service_req_total,2020-02-27 23:30:23,checkoutservice,466
service_req_total,2020-02-27 23:30:08,checkoutservice,466
service_req_total,2020-02-27 23:29:38,checkoutservice,466
service_req_total,2020-02-27 23:29:23,checkoutservice,466
service_req_total,2020-02-27 23:29:08,checkoutservice,466
service_req_total,2020-02-27 23:28:38,checkoutservice,466
service_req_total,2020-02-27 23:28:23,checkoutservice,466
service_req_total,2020-02-27 23:27:53,checkoutservice,466
service_req_total,2020-02-27 23:27:08,checkoutservice,466
service_req_total,2020-02-27 23:26:53,checkoutservice,466
service_req_total,2020-02-27 23:26:38,checkoutservice,466
service_req_total,2020-02-27 23:26:08,checkoutservice,466
service_req_total,2020-02-27 23:25:53,checkoutservice,466
service_req_total,2020-02-27 23:25:38,checkoutservice,466
service_req_total,2020-02-27 23:25:23,checkoutservice,466
service_req_total,2020-02-27 23:25:08,checkoutservice,466
service_req_total,2020-02-27 23:24:53,checkoutservice,466
service_req_total,2020-02-27 23:24:38,checkoutservice,466
service_req_total,2020-02-27 23:23:08,checkoutservice,NaN
service_req_total,2020-02-27 23:22:53,checkoutservice,2066
service_req_total,2020-02-27 23:22:38,checkoutservice,2066
service_req_total,2020-02-27 23:22:23,checkoutservice,2066
service_req_total,2020-02-27 23:22:08,checkoutservice,2066
service_req_total,2020-02-27 23:21:53,checkoutservice,2066
service_req_total,2020-02-27 23:21:38,checkoutservice,2066
service_req_total,2020-02-27 23:21:23,checkoutservice,2066
service_req_total,2020-02-27 23:21:08,checkoutservice,2066
service_req_total,2020-02-27 23:20:53,checkoutservice,2066
service_req_total,2020-02-27 23:20:38,checkoutservice,2066
service_req_total,2020-02-27 23:20:23,checkoutservice,2066
service_req_total,2020-02-27 23:20:08,checkoutservice,2066
service_req_total,2020-02-27 23:19:53,checkoutservice,2066
service_req_total,2020-02-27 23:19:38,checkoutservice,2066
service_req_total,2020-02-27 23:19:08,checkoutservice,2066
service_req_total,2020-02-27 23:18:53,checkoutservice,2066
service_req_total,2020-02-27 23:18:38,checkoutservice,2066
service_req_total,2020-02-27 23:18:08,checkoutservice,2066
service_req_total,2020-02-27 23:17:53,checkoutservice,2066
service_req_total,2020-02-27 23:17:23,checkoutservice,2066
service_req_total,2020-02-27 23:17:08,checkoutservice,2066
service_req_total,2020-02-27 23:16:53,checkoutservice,2066
service_req_total,2020-02-27 23:16:38,checkoutservice,2066
service_req_total,2020-02-27 23:16:23,checkoutservice,2066
service_req_total,2020-02-27 23:15:23,checkoutservice,2066
service_req_total,2020-02-27 23:15:08,checkoutservice,2066
service_req_total,2020-02-27 23:14:53,checkoutservice,2066
service_req_total,2020-02-27 23:14:38,checkoutservice,2066
service_req_total,2020-02-27 23:14:23,checkoutservice,2066
service_req_total,2020-02-27 23:13:38,checkoutservice,2066
service_req_total,2020-02-27 23:13:23,checkoutservice,2066
service_req_total,2020-02-27 23:13:08,checkoutservice,2066
service_req_total,2020-02-27 23:12:53,checkoutservice,2066
service_req_total,2020-02-27 23:12:38,checkoutservice,2066
service_req_total,2020-02-27 23:12:23,checkoutservice,1166
service_req_total,2020-02-27 23:12:08,checkoutservice,1166
service_req_total,2020-02-27 23:11:53,checkoutservice,1166
service_req_total,2020-02-27 23:11:23,checkoutservice,1166
service_req_total,2020-02-27 23:11:08,checkoutservice,1166
service_req_total,2020-02-27 23:10:53,checkoutservice,1166
service_req_total,2020-02-27 23:10:38,checkoutservice,1166
service_req_total,2020-02-27 23:10:23,checkoutservice,1166
service_req_total,2020-02-27 23:10:08,checkoutservice,1166
service_req_total,2020-02-27 23:09:38,checkoutservice,1166
service_req_total,2020-02-27 23:09:23,checkoutservice,1166
service_req_total,2020-02-27 23:08:53,checkoutservice,1166
service_req_total,2020-02-27 23:08:38,checkoutservice,1166
service_req_total,2020-02-27 23:08:08,checkoutservice,1166
service_req_total,2020-02-27 23:07:53,checkoutservice,1166
service_req_total,2020-02-27 23:07:38,checkoutservice,1166
service_req_total,2020-02-27 23:07:23,checkoutservice,1166
service_req_total,2020-02-27 23:07:08,checkoutservice,1166
service_req_total,2020-02-27 23:06:53,checkoutservice,1166
service_req_total,2020-02-27 23:05:53,checkoutservice,1166
service_req_total,2020-02-27 23:05:38,checkoutservice,1166
service_req_total,2020-02-27 23:05:23,checkoutservice,1166
service_req_total,2020-02-27 23:05:08,checkoutservice,1166
service_req_total,2020-02-27 23:04:38,checkoutservice,337
service_req_total,2020-02-27 23:04:23,checkoutservice,337
service_req_total,2020-02-27 23:04:08,checkoutservice,337
service_req_total,2020-02-27 23:03:53,checkoutservice,337
service_req_total,2020-02-27 23:03:38,checkoutservice,337
service_req_total,2020-02-27 23:03:23,checkoutservice,337
service_req_total,2020-02-27 23:03:08,checkoutservice,337
service_req_total,2020-02-27 23:02:53,checkoutservice,337
service_req_total,2020-02-27 23:02:23,checkoutservice,337
service_req_total,2020-02-27 23:02:08,checkoutservice,337
service_req_total,2020-02-27 23:01:53,checkoutservice,337
service_req_total,2020-02-27 23:01:38,checkoutservice,337
service_req_total,2020-02-27 23:01:23,checkoutservice,337
service_req_total,2020-02-27 23:01:08,checkoutservice,337
service_req_total,2020-02-27 23:00:53,checkoutservice,337
service_req_total,2020-02-27 23:00:23,checkoutservice,337
service_req_total,2020-02-27 23:00:08,checkoutservice,337
service_req_total,2020-02-27 22:59:53,checkoutservice,337
service_req_total,2020-02-27 22:59:23,checkoutservice,337
service_req_total,2020-02-27 22:59:08,checkoutservice,337
service_req_total,2020-02-27 22:58:53,checkoutservice,2
service_req_total,2020-02-27 22:58:38,checkoutservice,2
service_req_total,2020-02-27 22:58:23,checkoutservice,2
service_req_total,2020-02-27 22:58:08,checkoutservice,2
service_req_total,2020-02-27 22:57:53,checkoutservice,2
service_req_total,2020-02-27 22:57:23,checkoutservice,2
service_req_total,2020-02-27 22:57:08,checkoutservice,2
service_req_total,2020-02-28 11:59:53,checkoutservice,477
service_req_total,2020-02-28 11:59:38,checkoutservice,477
service_req_total,2020-02-28 11:59:23,checkoutservice,390
service_req_total,2020-02-28 11:59:08,checkoutservice,390
service_req_total,2020-02-28 11:58:53,checkoutservice,390
service_req_total,2020-02-28 11:58:38,checkoutservice,390
service_req_total,2020-02-28 11:58:23,checkoutservice,390
service_req_total,2020-02-28 11:58:08,checkoutservice,390
service_req_total,2020-02-28 11:57:53,checkoutservice,390
service_req_total,2020-02-28 11:57:38,checkoutservice,390
service_req_total,2020-02-28 11:57:23,checkoutservice,390
service_req_total,2020-02-28 11:57:08,checkoutservice,390
service_req_total,2020-02-28 11:56:53,checkoutservice,390
service_req_total,2020-02-28 11:56:38,checkoutservice,390
service_req_total,2020-02-28 11:56:23,checkoutservice,390
service_req_total,2020-02-28 11:56:08,checkoutservice,390
service_req_total,2020-02-28 11:55:53,checkoutservice,390
service_req_total,2020-02-28 11:55:38,checkoutservice,390
service_req_total,2020-02-28 11:55:23,checkoutservice,390
service_req_total,2020-02-28 11:55:08,checkoutservice,390
service_req_total,2020-02-28 11:54:53,checkoutservice,390
service_req_total,2020-02-28 11:54:38,checkoutservice,390
service_req_total,2020-02-28 11:54:23,checkoutservice,390
service_req_total,2020-02-28 11:54:08,checkoutservice,390
service_req_total,2020-02-28 11:53:53,checkoutservice,390
service_req_total,2020-02-28 11:53:38,checkoutservice,390
service_req_total,2020-02-28 11:53:23,checkoutservice,390
service_req_total,2020-02-28 11:53:08,checkoutservice,390
service_req_total,2020-02-28 11:52:53,checkoutservice,390
service_req_total,2020-02-28 11:52:38,checkoutservice,390
service_req_total,2020-02-28 11:52:23,checkoutservice,390
service_req_total,2020-02-28 11:51:38,checkoutservice,390
service_req_total,2020-02-28 11:51:23,checkoutservice,390
service_req_total,2020-02-28 11:51:08,checkoutservice,390
service_req_total,2020-02-28 11:50:53,checkoutservice,390
service_req_total,2020-02-28 11:50:38,checkoutservice,390
service_req_total,2020-02-28 11:50:23,checkoutservice,390
service_req_total,2020-02-28 11:50:08,checkoutservice,390
service_req_total,2020-02-28 11:49:53,checkoutservice,390
service_req_total,2020-02-28 11:49:38,checkoutservice,390
service_req_total,2020-02-28 11:49:23,checkoutservice,390
service_req_total,2020-02-28 11:49:08,checkoutservice,390
service_req_total,2020-02-28 11:48:53,checkoutservice,390
service_req_total,2020-02-28 10:53:08,checkoutservice,NaN
service_req_total,2020-02-28 10:52:53,checkoutservice,238
service_req_total,2020-02-28 10:52:38,checkoutservice,238
service_req_total,2020-02-28 10:52:23,checkoutservice,238
service_req_total,2020-02-28 10:52:08,checkoutservice,238
service_req_total,2020-02-28 10:51:53,checkoutservice,238
service_req_total,2020-02-28 10:51:38,checkoutservice,238
service_req_total,2020-02-28 10:51:23,checkoutservice,238
service_req_total,2020-02-28 10:51:08,checkoutservice,238
service_req_total,2020-02-28 10:50:53,checkoutservice,238
service_req_total,2020-02-28 10:50:38,checkoutservice,238
