"variable","time","val"
system_disk_io,2020-02-20 12:30:36,0.01
system_disk_io,2020-02-20 12:32:06,0.01
system_disk_io,2020-02-20 12:49:51,0.01
system_disk_io,2020-02-20 12:58:21,0.02
system_disk_io,2020-02-20 13:17:51,0.01
system_disk_io,2020-02-20 13:27:06,0.02
system_disk_io,2020-02-20 13:38:06,0.02
system_disk_io,2020-02-20 13:44:21,0.02
system_disk_io,2020-02-20 13:44:36,0.02
system_disk_io,2020-02-20 13:57:36,0.02
system_disk_io,2020-02-20 14:09:06,0.01
system_disk_io,2020-02-20 14:12:06,7.13
system_disk_io,2020-02-20 14:18:21,0.81
system_disk_io,2020-02-20 14:34:36,0.02
system_disk_io,2020-02-20 14:40:06,0.01
system_disk_io,2020-02-20 14:43:21,0.02
system_disk_io,2020-02-20 14:57:36,0.02
system_disk_io,2020-02-20 15:03:06,0.01
system_disk_io,2020-02-20 15:15:36,0.02
system_disk_io,2020-02-20 15:20:51,0.02
system_disk_io,2020-02-20 15:21:06,0.02
system_disk_io,2020-02-20 15:21:21,0.01
system_disk_io,2020-02-20 15:21:36,0.02
system_disk_io,2020-02-20 15:21:51,0.02
system_disk_io,2020-02-20 15:22:21,0.01
system_disk_io,2020-02-20 15:22:36,0.01
system_disk_io,2020-02-20 15:23:36,0.03
system_disk_io,2020-02-20 15:23:51,0.03
system_disk_io,2020-02-20 15:24:06,0.01
system_disk_io,2020-02-20 15:24:36,0.02
system_disk_io,2020-02-20 15:24:51,0.03
system_disk_io,2020-02-20 15:25:21,0.01
system_disk_io,2020-02-20 15:25:36,0.02
system_disk_io,2020-02-20 15:26:36,0.02
system_disk_io,2020-02-20 15:26:51,0.02
system_disk_io,2020-02-20 15:27:06,0.02
system_disk_io,2020-02-20 15:27:21,0.02
system_disk_io,2020-02-20 15:27:36,0.02
system_disk_io,2020-02-20 15:27:51,0.02
system_disk_io,2020-02-20 15:28:06,0.02
system_disk_io,2020-02-20 15:28:21,0.01
system_disk_io,2020-02-20 15:28:36,0.02
system_disk_io,2020-02-20 15:28:51,0.02
system_disk_io,2020-02-20 15:29:06,0.03
system_disk_io,2020-02-20 15:29:21,0.02
system_disk_io,2020-02-20 15:29:36,0.02
system_disk_io,2020-02-20 15:29:51,0.02
system_disk_io,2020-02-20 15:30:06,0.02
system_disk_io,2020-02-20 15:30:21,0.02
system_disk_io,2020-02-20 15:30:36,0.02
system_disk_io,2020-02-20 15:30:51,0.04
system_disk_io,2020-02-20 15:31:21,0.04
system_disk_io,2020-02-20 15:31:36,0.02
system_disk_io,2020-02-20 15:31:51,0.02
system_disk_io,2020-02-20 15:32:06,0.02
system_disk_io,2020-02-20 15:32:21,0.02
system_disk_io,2020-02-20 15:32:36,0.02
system_disk_io,2020-02-20 15:32:51,0.02
system_disk_io,2020-02-20 15:33:06,0.02
system_disk_io,2020-02-20 15:33:21,0.02
system_disk_io,2020-02-20 15:33:36,0.02
system_disk_io,2020-02-20 15:33:51,0.03
system_disk_io,2020-02-20 15:34:06,0.02
system_disk_io,2020-02-20 15:34:36,0.03
system_disk_io,2020-02-20 15:34:51,0.02
system_disk_io,2020-02-20 15:35:06,0.02
system_disk_io,2020-02-20 15:35:21,0.02
system_disk_io,2020-02-20 15:35:36,0.02
system_disk_io,2020-02-20 15:35:51,0.02
system_disk_io,2020-02-20 15:36:21,0.02
system_disk_io,2020-02-20 15:36:36,0.02
system_disk_io,2020-02-20 15:36:51,0.02
system_disk_io,2020-02-20 15:37:36,0.02
system_disk_io,2020-02-20 15:37:51,0.02
system_disk_io,2020-02-20 15:38:51,0.02
system_disk_io,2020-02-20 15:39:06,0.01
system_disk_io,2020-02-20 15:39:21,0.02
system_disk_io,2020-02-20 15:39:36,0.02
system_disk_io,2020-02-20 15:39:51,0.03
system_disk_io,2020-02-20 15:40:06,0.02
system_disk_io,2020-02-20 15:40:21,0.03
system_disk_io,2020-02-20 15:40:36,0.03
system_disk_io,2020-02-20 15:40:51,0.02
system_disk_io,2020-02-20 15:41:21,0.02
system_disk_io,2020-02-20 15:41:36,0.02
system_disk_io,2020-02-20 15:41:51,0.02
system_disk_io,2020-02-20 15:42:06,0.01
system_disk_io,2020-02-20 15:42:21,0.02
system_disk_io,2020-02-20 15:42:36,0.02
system_disk_io,2020-02-20 15:42:51,0.02
system_disk_io,2020-02-20 15:43:06,0.02
system_disk_io,2020-02-20 15:43:21,0.01
system_disk_io,2020-02-20 15:43:51,0.02
system_disk_io,2020-02-20 15:44:21,0.02
system_disk_io,2020-02-20 15:44:36,0.01
system_disk_io,2020-02-20 15:44:51,0.03
system_disk_io,2020-02-20 15:45:06,0.03
system_disk_io,2020-02-20 15:45:21,0.03
system_disk_io,2020-02-20 15:45:36,0.03
system_disk_io,2020-02-20 15:46:21,0.02
system_disk_io,2020-02-20 15:46:51,0.01
system_disk_io,2020-02-20 15:47:21,0.01
system_disk_io,2020-02-20 15:47:36,0.02
system_disk_io,2020-02-20 15:47:51,0.02
system_disk_io,2020-02-20 15:48:06,0.02
system_disk_io,2020-02-20 15:48:21,0.01
system_disk_io,2020-02-20 15:48:36,0.02
system_disk_io,2020-02-20 15:48:51,0.02
